"Propietario","Fecha Operación","Sistema Eléctrico ","Coordenada Este","Coordenada Norte","Datum","Uso","nombre","estado","Región","Provincia","Comuna","Tipo ","Potencia MW","Unidades","rca"
"CAVANCHA S.A.","1995","SING","382248,00","7761882,00","WGS84","19","CAVANCHA","EN OPERACION","I REGION DE TARAPACA","TARAPACA","IQUIQUE","HIDROELECTRICA MENOR A 20 MW","2,80","1","NA"
"COLBUN S.A.","2002","SIC","359066,00","6363941,00","WGS84","19","CHACABUQUITO","EN OPERACION","V REGION DE VALPARAISO","LOS ANDES","SAN ESTEBAN","HIDROELECTRICA MAYOR A 20 MW","25,70","4","SIN RCA"
"PACIFIC HYDRO CHACAYES","01/01/2012","SIC","366311,00","6206340,00","WGS84","19","CHACAYES","EN OPERACION","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","CACHAPOAL","MACHALI","HIDROELECTRICA MAYOR A 20 MW","112,00","2","RCA 162/2008"
"E-CL S.A.","1967","SING","442028,00","7968474,00","WGS84","19","CHAPIQUINA","EN OPERACION","XV REGION DE ARICA Y PARINACOTA","PARINACOTA","PUTRE","HIDROELECTRICA MENOR A 20 MW","10,20","2","NA"
"COLBUN S.A.","2007","SIC","286825,00","6051044,00","WGS84","19","CHIBURGO","EN OPERACION","VII REGION DEL MAULE","LINARES","COLBUN","HIDROELECTRICA MENOR A 20 MW","19,40","2","RCA 137/2005"
"ENDESA","1955","SIC","336627,00","6038213,00","WGS84","19","CIPRESES","EN OPERACION","VII REGION DEL MAULE","TALCA","SAN CLEMENTE","HIDROELECTRICA MAYOR A 20 MW","106,00","3","SIN RCA"
"COLBUN S.A.","1985","SIC","285422,00","6048273,00","WGS84","19","COLBUN","EN OPERACION","VII REGION DEL MAULE","LINARES","COLBUN","HIDROELECTRICA MAYOR A 20 MW","474,00","2","RCA120/2004/176/2007"
"ENERGIA COLLIL S.A.","S/I","SIC","93213,00","5271940,00","WGS84","19","COLLIL","EN OPERACION","X REGION DE LOS LAGOS","CHILOE","CHONCHI","HIDROELECTRICA MENOR A 20 MW","7,00","2","RCA 551/2012"
"EMPRESA ELECTRICA CONTRA S.P.A.","2013","SIC","170419,00","5523122,00","WGS84","19","CONTRA","EN OPERACION","XIV REGION DE LOS RIOS","RANCO","RIO BUENO","HIDROELECTRICA MENOR A 20 MW","0,33","1","NA"
"PACIFIC HYDRO CHILE S.A.","2008","SIC","359437,00","6214070,00","WGS84","19","COYA","EN OPERACION","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","CACHAPOAL","MACHALI","HIDROELECTRICA MENOR A 20 MW","12,00","1","NA"
"EPA S.A.","2008","EDELAYSEN","211373,00","5348800,00","WGS84","19","CUCHILDEO","EN OPERACION","X REGION DE LOS LAGOS","PALENA","HUALAIHUE","HIDROELECTRICA MENOR A 20 MW","0,77","1","NA"
"EMPRESA ELECTRICA PEHUENCHE S.A.","1993","SIC","324563,00","6035882,00","WGS84","19","CURILLINQUE","EN OPERACION","VII REGION DEL MAULE","TALCA","SAN CLEMENTE","HIDROELECTRICA MAYOR A 20 MW","92,00","1","SIN RCA"
"GENERHOM","2013","SIC","202287,00","5504390,00","WGS84","19","DON WALTERIO","EN OPERACION","XIV REGION DE LOS RIOS","RANCO","RIO BUENO","HIDROELECTRICA MENOR A 20 MW","3,00","1","RCA 17 /2008"
"GANADERIA Y FORESTAL CARRAN LTDA.","2010","SIC","244644,00","5530960,00","WGS84","19","DONA HILDA","EN OPERACION","XIV REGION DE LOS RIOS","RANCO","LAGO RANCO","HIDROELECTRICA MENOR A 20 MW","0,40","2","NA"
"SOC. HIDROELECTRICA DONGO SPA","2010","SIC","98233,00","5275560,00","WGS84","19","DONGO","EN OPERACION","X REGION DE LOS LAGOS","CHILOE","CHONCHI","HIDROELECTRICA MENOR A 20 MW","6,00","2","RCA 723/2008"
"DONGUIL ENERGIA","2011","SIC","182305,00","5663435,00","WGS84","19","DONGUIL","EN OPERACION","IX REGION DE LA ARAUCANIA","CAUTIN","GORBEA","HIDROELECTRICA MENOR A 20 MW","0,25","1","NA"
"ENERGIAS RENOVABLES EL ARRAYAN LTDA.","2013","SIC","206812,00","5500072,00","WGS84","19","EL ARRAYAN","EN OPERACION","XIV REGION DE LOS RIOS","RANCO","RIO BUENO","HIDROELECTRICA MENOR A 20 MW","0,20","1","NA"
"HIDROCANELO","2012","SIC","260699,00","5697412,00","WGS84","19","EL CANELO","EN OPERACION","IX REGION DE LA ARAUCANIA","CAUTIN","MELIPEUCO","HIDROELECTRICA MENOR A 20 MW","6,04","2","RCA 61/2011"
"HIDROELECTRICA DIUTO","2011","SIC","227294,00","5853750,00","WGS84","19","EL DIUTO","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","LOS ANGELES","HIDROELECTRICA MENOR A 20 MW","3,30","1","RCA 209/2009"
"ELECTRICA PUNTILLA S.A.","2013","SIC","357549,00","6278711,00","WGS84","19","EL LLANO","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","CORDILLERA","PIRQUE","HIDROELECTRICA MENOR A 20 MW","1,90","1","NA"
"HIDROELECTRICA EL MANZANO S.A.","2008","SIC","255831,00","5697510,00","WGS84","19","EL MANZANO","EN OPERACION","IX REGION DE LA ARAUCANIA","CAUTIN","MELIPEUCO","HIDROELECTRICA MENOR A 20 MW","4,90","1","RCA 193/2007"
"ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO","2006","SIC","356731,00","6286882,00","WGS84","19","EL RINCON","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","SANTIAGO","LA FLORIDA","HIDROELECTRICA MENOR A 20 MW","0,30","1","NA"
"WENKE","2010","SIC","341243,00","6395974,00","WGS84","19","EL TARTARO","EN OPERACION","V REGION DE VALPARAISO","SAN FELIPE","PUTAENDO","HIDROELECTRICA MENOR A 20 MW","0,10","1","NA"
"ENDESA","S/I","SIC","282528,00","5871789,00","WGS84","19","EL TORO","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","ANTUCO","HIDROELECTRICA MAYOR A 20 MW","450,00","4","S/I"
"ENERNUEVAS S.A.","2010","SING","390187,00","7762870,00","WGS84","19","EL TORO 2","EN OPERACION","I REGION DE TARAPACA","IQUIQUE","ALTO HOSPICIO","HIDROELECTRICA MENOR A 20 MW","1,10","1","NA"
"EDELAYSEN S.A.","1987/2007","AYSEN","225866,00","4763080,00","WGS84","19","EL TRARO","EN OPERACION","XII REGION DE AYSEN","CAPITAN PRAT","COCHRANE","HIDROELECTRICA MENOR A 20 MW","0,10","2","NA"
"HIDROELECTRICA ENSENADA S.A.","2013","SIC","203417,00","5424998,00","WGS84","19","ENSENADA","EN OPERACION","X REGION DE LOS LAGOS","LLANQUIHUE","PUERTO VARAS","HIDROELECTRICA MENOR A 20 MW","1,20","3","RCA 136/2009"
"ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO","2003","SIC","359847,00","6280276,00","WGS84","19","EYZAGUIRRE","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","CORDILLERA","PUENTE ALTO","HIDROELECTRICA MENOR A 20 MW","1,90","1","NA"
"ASOC. DE CANAL. SOCIEDAD DEL CANAL DE MAIPO","FI:1909 U3-U5; FII:1993 U1-U2; FIII:1999 U1-U2","SIC","356531,00","6286924,00","WGS84","19","FLORIDA","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","SANTIAGO","LA FLORIDA","HIDROELECTRICA MAYOR A 20 MW","28,50","6","S/I"
"ENERGIA COYANCO S.A.","2011","SIC","373847,00","6281050,00","WGS84","19","GUAYACAN","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","CORDILLERA","SAN JOSE DE MAIPO","HIDROELECTRICA MENOR A 20 MW","12,00","2","RCA 187/2009"
"RIO TRANQUILO S.A.","2008","SIC","381850,00","6359030,00","WGS84","19","HORNITOS","EN OPERACION","V REGION DE VALPARAISO","LOS ANDES","LOS ANDES","HIDROELECTRICA MAYOR A 20 MW","61,00","1","RCA 81/2004"
"ENDESA","1963","SIC","334210,00","6035575,00","WGS84","19","ISLA","EN OPERACION","VII REGION DEL MAULE","TALCA","SAN CLEMENTE","HIDROELECTRICA MAYOR A 20 MW","70,00","2","SIN RCA"
"COLBUN S.A.","1994","SIC","375762,00","6357133,00","WGS84","19","JUNCAL","EN OPERACION","V REGION DE VALPARAICO","LOS ANDES","SAN ESTEBAN","HIDROELECTRICA MAYOR A 20 MW","29,20","1","NO APLICA"
"COLBUN S.A.","2010","SIC","381258,00","6358960,00","WGS84","19","JUNCALITO","EN OPERACION","V REGION DE VALPARAISO","LOS ANDES","LOS ANDES","HIDROELECTRICA MENOR A 20 MW","1,50","1","NA"
"EMPRESA ELECTRICA LA ARENA SPA","2011","SIC","196561,00","5379190,00","WGS84","19","LA ARENA","EN OPERACION","X REGION DE LOS LAGOS","LLANQUIHUE","PUERTO MONTT","HIDROELECTRICA MENOR A 20 MW","3,00","1","RCA 131/2013"
"HIDROELECTRICA LA CONFLUENCIA S.A.","06/12/2010","SIC","357882,00","6144320,00","WGS84","19","LA CONFLUENCIA","EN OPERACION","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","COLCHAGUA","SAN FERNANDO","HIDROELECTRICA MAYOR A 20 MW","163,20","2","RCA 282/2007"
"HIDROELECTRICA LA HIGUERA S.A.","01/09/2010","SIC","343078,00","6153170,00","WGS84","19","LA HIGUERA","EN OPERACION","VI REGION DEL LIBERTADOR BERNARDO O'HIGGINS","COLCHAGUA","SAN FERNANDO","HIDROELECTRICA MAYOR A 20 MW","155,00","2","RCA 116/2004"
"HIDROPALOMA S.A.","2010","SIC","304885,00","6601830,00","WGS84","19","LA PALOMA","EN OPERACION","IV REGION DE COQUIMBO","LIMARI","OVALLE","HIDROELECTRICA MENOR A 20 MW","4,60","2","RCA 169/2008"
"EDELAYSEN S.A.","2003","AYSEN","244225,00","4927785,00","WGS84","19","LAGO ATRAVESADO","EN OPERACION","XI REGION DE AYSEN","COYHAIQUE","LAGO VERDE","HIDROELECTRICA MENOR A 20 MW","11,00","2","RCA 017/2000"
"ELECTRICA PUNTILLA S.A.","2013","SIC","363629,00","6282048,00","WGS84","19","LAS VERTIENTES","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","CORDILLERA","PIRQUE","HIDROELECTRICA MENOR A 20 MW","1,70","1","NA"
"EMPRESA ELECTRICA LICAN S.A.","2011","SIC","212266,00","5498080,00","WGS84","19","LICAN","EN OPERACION","XIV REGION DE LOS RIOS","RANCO","RIO BUENO","HIDROELECTRICA MENOR A 20 MW","18,00","2","RCA 862/2004"
"HIDROMAULE S.A.","2009","SIC","294988,00","6065020,00","WGS84","19","LIRCAY","EN OPERACION","VII REGION DEL MAULE","TALCA","SAN CLEMENTE","HIDROELECTRICA MENOR A 20 MW","19,00","2","RCA 414/2006"
"EMPRESA ELECTRICA PEHUENCHE S.A.","1997","SIC","320898,00","6037440,00","WGS84","19","LOMA ALTA","EN OPERACION","VII REGION DEL MAULE","TALCA","SAN CLEMENTE","HIDROELECTRICA MAYOR A 20 MW","40,00","1","RCA 367/1995"
"CARBOMET ENERGIA S.A.","2012","SIC","352088,00","6277128,00","WGS84","19","LOS BAJOS","EN OPERACION","XIII REGION MAGALLANES Y ANTARTICA CHILENA","SANTIAGO","SAN BERNARDO","HIDROELECTRICA MENOR A 20 MW","5,50","1","S/I"
"AGRICOLA ALEJANDRO PONCE","2010","SIC","219714,00","5495120,00","WGS84","19","LOS CORRALES","EN OPERACION","XIV REGION DE LOS RIOS","RANCO","RIO BUENO","HIDROELECTRICA MENOR A 20 MW","1,00","1","NA"
"AGRICOLA ALEJANDRO PONCE","2013","SIC","219713,00","5495124,00","WGS84","19","LOS CORRALES 2","EN OPERACION","XIV REGION DE LOS RIOS","RANCO","RIO BUENO","HIDROELECTRICA MENOR A 20 MW","1,04","1","NA"
"EMPRESA ELECTRICA AGUAS DEL MELADO S.A.","23/02/2009","SIC","313639,00","6029850,00","WGS84","19","LOS HIERROS","EN OPERACION","VII REGION DEL MAULE","LINARES","COLBUN","HIDROELECTRICA MAYOR A 20 MW","25,10","2","RCA 151/2011"
"ENDESA","1952","SIC","348112,00","6597668,00","WGS84","19","LOS MOLLES","EN OPERACION","IV REGION DE COQUIMBO","LIMARI","OVALLE","HIDROELECTRICA MENOR A 20 MW","18,00","2","NA"
"EMPRESA ELECTRICA LOS MORROS S.A.","1994","SIC","346425,00","6275666,00","WGS84","19","LOS MORROS","EN OPERACION","XIII REGION METROPOLITANA DE SANTIAGO","MAIPO","SAN BERNARDO","HIDROELECTRICA MENOR A 20 MW","3,10","5","NA"
"LOS PADRES HIDRO S.A.","2014","SIC","260858,00","5843123,00","WGS84","19","LOS PADRES","EN OPERACION","VIII REGION DEL BIOBIO","BIOBIO","QUILLECO","HIDROELECTRICA MENOR A 20 MW","2,20","1","NA"
"COLBUN S.A.","1943","SIC","368282,00","6362640,00","WGS84","19","LOS QUILOS","EN OPERACION","V REGION DE VALPARAISO","LOS ANDES","SAN ESTEBAN","HIDROELECTRICA MAYOR A 20 MW","39,90","3","SIN RCA"
"COLBUN S.A.","1985","SIC","283144,00","6043075,00","WGS84","19","MACHICURA","EN OPERACION","VII REGION DEL MAULE","LINARES","COLBUN","HIDROELECTRICA MAYOR A 20 MW","95,00","2","SIN RCA"
