"rca","Sistema Eléctrico","estado","Comuna","nombre","Combustible","Potencia MW","Unidades","Coordenada Norte","Uso","Región","Provincia","Propietario","Coordenada Este","Datum"
"S/I","SING","EN OPERACION","TOCOPILLA","TERMOELECTRICA NORGENER","CARBON","277,30","2","374976,00","19","II REGION DE ANTOFAGASTA","TOCOPILLA","NORGENER S.A.","374976,00","WGS/84"
"S/I","SING","EN OPERACION","IQUIQUE","TERMOELECTRICA TARAPACA","CARBON/DIESEL","181,80","2","375817,00","19","I REGION DE TARAPACA","IQUIQUE","CELTA","375817,00","WGS/84"
"S/I","SING","EN OPERACION","TOCOPILLA","TERMOELECTRICA TOCOPILLA","DIESEL/GAS NATURAL/FUEL OIL NRO. 6/CARBON","1.001,70","11","374699,00","19","II REGION DE ANTOFAGASTA","TOCOPILLA","E/CL","374699,00","WGS/84"
"S/I","SING","EN OPERACION","ANTOFAGASTA","DIESEL AGUAS BLANCAS","DIESEL","2,00","1","412119,25","19","II REGION DE ANTOFAGASTA","ANTOFAGASTA","INGENOVA","412119,25","WGS/84"
"S/I","SIC","EN OPERACION","COLLIPULLI","COLLIPULLI","S/I","3,80","4","211641,63","19","IX REGION DE LA ARAUCANIA","MALLECO","SAGESA","211641,63","WGS/84"
"S/I","SIC","EN OPERACION","VICTORIA","VICTORIA","S/I","1,70","1","207044,91","19","IX REGION DE LA ARAUCANIA","MALLECO","PSEG GENERACION Y ENERGIA CHILE LTDA.","207044,91","WGS/84"
"S/I","SIC","EN OPERACION","ANCUD","ANCUD","S/I","3,30","1","101851,42","19","X REGION DE LOS LAGOS","CHILOE","SAESA","101851,42","WGS/84"
"S/I","SING","EN OPERACION","SALTA","SALTA","GAS NATURAL/DIESEL","100,00","S/I","899420,86","19","ARGENTINA","ARGENTINA","AES GENER","899420,86","WGS/84"
"32","SIC","EN OPERACION","PEMUCO","ORAFTI","GAS NATURAL","60,00","S/I","201959,84","19","VIII REGION DEL BIO/BIO","NUBLE","ORAFTI CHILE S.A.","201959,84","WGS/84"
"S/I","EDELAYSEN","EN OPERACION","HUALAIHUE","CENTRAL TERMICA HORNOPIREN","DIESEL","2,83","4","211226,60","19","X REGION DE LOS LAGOS","PALENA","SAGESA","211226,60","WGS/84"
"S/I","EDELAYSEN","EN OPERACION","COCHAMO","CENTRAL TERMICA COCHAMO","DIESEL","6,45","3","224164,56","19","X REGION DE LOS LAGOS","LLANQUIHUE","SAGESA","224164,56","WGS/84"
"SIN RCA","SIC","SIN CALIFICACION","LA UNION","C.T. POLINCAY","DIESEL","4,80","6","154117,90","19","XIV REGION DE LOS RIOS","RANCO","CENTRAL AUSTRAL DE GENERACION Y ENERGIA S.A.","154117,90","WGS/84"
"SIN RCA","SIC","EN OPERACION","CASTRO","C.T. SALMOFOOD CASTRO","DIESEL","1,60","1","107928,32","19","IX REGION DE LA ARAUCANIA","CHILOE","SAGESA","107928,32","WGS/84"
"NO APLICA","AYSEN","EN OPERACION","CHAITEN","C.T. CHAITEN","DIESEL","0,00","2","197183,50","19","XIV REGION DE LOS LAGOS","PALENA","EDELAYSEN S.A.","197183,50","WGS/84"
