"Nombre Central","Latitud","Longitud","Altitud","-"
"Nalcas","-40.8951839195183","-72.3400681437694","0.0",""
"Nehuenco","-32.9366244713104","-71.3231015539984","0.0",""
"Nehuenco 9B","-32.9366244713104","-71.3231015539984","0.0",""
"Nehuenco II","-32.9366244713104","-71.3231015539984","0.0",""
"Newen","-36.7754880778297","-73.1127298514377","0.0",""
"Nueva Aldea I (ex Itata)","-36.6597129261837","-72.4730974375821","0.0",""
"Nueva Aldea II","-36.6597935096356","-72.4794485538878","0.0",""
"Nueva Aldea III","-36.6619975530959","-72.4822403962641","0.0",""
"Nueva Renca","-33.4183577469844","-70.6869681360003","0.0",""
"Nueva Ventanas","-32.7498099619457","-71.4831505899305","0.0",""
"Ojos de Agua","-35.7859435934976","-70.80756173786","0.0",""
"Olivos","-31.93533939722011","-71.476886306106","0.0",""
"Orafti","-36.909754","-72.345142","0.0",""
"Palmucho (**)","-38.0452081240452","-71.4713499704401","0.0",""
"Pangue","-37.9098682445707","-71.6086833379401","0.0",""
"PColoradaEol","-29.3662216432036","-71.0585306517357","0.0",""
"Pehuenche","-35.7337526935025","-71.1554639026682","0.0",""
"Pehui","-40.5566969290027","-72.5161406345007","0.0",""
"Petropower","-36.7872845162025","-73.1217079384988","0.0",""
"Peuchén","-37.5404478967465","-71.5964566696687","0.0",""
"Pichilonco","-40.3289846310118","-72.3226247876114","0.0",""
"Pilmaiquén","-40.6380952611268","-72.6496722736812","0.0",""
"Placilla","-33.108461524677","-71.5590607843917","0.0",""
"PMGD Planta Curicó","-35.0206996441882","-71.2436495590341","0.0",""
"Providencia","-35.4696877018301","-71.2728826327652","0.0",""
"Puclaro","-29.9960960631531","-70.8638185835691","0.0",""
"Pulelfu","-40.7912980780611","-72.3160391212758","0.0",""
"Pullinque","-39.5956718778702","-72.2174508852708","0.0",""
"Punitaqui","-30.8580117740108","-71.2405616029461","0.0",""
"Punta Colorada","-29.3667938944813","-71.0428521642172","0.0",""
"Puntilla","-33.618718451436","-70.5351858220037","0.0",""
"Purísima","-35.2020676347157","-71.1820150666861","0.0",""
"PV Salvador","-26.314116703618","-69.8680589139535","0.0",""
"Quellón II","-43.091329642902","-73.6142934472372","0.0",""
"Queltehues","-33.8127964569579","-70.2193299748686","0.0",""
"Quillaileo","-37.6929601947137","-71.8082327922691","0.0",""
"Quilleco","-37.3359615890213","-71.9567386369958","0.0",""
"Quintay","-33.2007366413746","-71.6591897022438","0.0",""
"Quintero","-32.7870742394561","-71.4855418031763","0.0",""
"Ralco","-37.9969324609556","-71.5199021012506","0.0",""
"Rapel","-34.040948464045","-71.5902478432562","0.0",""
"Reca","-39.7834396049102","-72.1159227888172","0.0",""
"Renaico","-37.8138355737173","-72.4155448769529","0.0",""
"Renca","-33.4172894687493","-70.6885703427795","0.0",""
"Río Huasco","-28.676184403791","-70.6450849952571","0.0",""
"Río Picoiquén","-37.809644","-72.833582","0.0",""
"Río Trueno","-38.6009056492908","-72.0472658110599","0.0",""
"Robleria","-35.8502538293186","-71.2806424717097","0.0",""
"Rucatayo","-40.6191320407624","-72.7038154415992","0.0",""
"Rucúe","-37.3603337506932","-71.8657270380288","0.0",""
"S. Andes","-32.8323276940154","-70.5390499606034","0.0",""
"S. Fco. Mostazal","-33.9819770282805","-70.6984631449481","0.0",""
"Salmofood I","-42.480427","-73.772077","0.0",""
"Salmofood II","-42.480427","-73.772077","0.0",""
"San Andrés","-34.7346591970808","-70.3825410334374","0.0",""
"San Clemente","-35.5981561879875","-71.3556441826037","0.0",""
"San Gregorio","-36.2788154509514","-71.8187722504769","0.0",""
"San Ignacio","-35.6146177015818","-71.5413000699527","0.0",""
"San Isidro","-32.9459883679066","-71.3387570040501","0.0",""
"San IsIdro II","-32.9459883679066","-71.3387570040501","0.0",""
"San Lorenzo de D. de Almagro","-26.4003538909755","-70.0379576218373","0.0",""
"Santa Fe","-37.5144443112847","-72.651888890792","0.0",""
"Santa Irene","-34.4712378711745","-71.2940507599407","0.0",""
"Santa Lidia","-37.0930229903303","-72.3164442233032","0.0",""
"Santa Marta","-33.7004313941693","-70.7978426956571","0.0",""
"Sauzal","-34.2366634523735","-70.5474037789631","0.0",""
"Sauzalito","-34.2366634523735","-70.5474037789631","0.0",""
"SDGx01","-30.2271628644312","-71.0924813830781","0.0",""
"Skretting","-40.5875111191915","-73.0988869519344","0.0",""
"Skretting Osorno","-40.5874859230281","-73.0988776220593","0.0",""
"Solar Diego de Almagro","-26.37958883959241","-70.0194165858143","0.0",""
"Solar Hornitos","-27.733111","-70.195998","0.0",""
"Solar Javiera","-26.303081","-70.221505","0.0",""
"Solar Las Terrazas","-27.628395255979","-70.3409901043441","0.0",""
"Solar Llano de Llampos","-27.1174606310841","-70.1711434014049","0.0",""
"Solar PSF Casas Blancas","-31.1949838088263","-71.0308231231759","0.0",""
"Solar PSF Lomas Coloradas","-31.1863824815467","-71.0225498058452","0.0",""
"Solar San Andrés","-27.2542245296181","-70.1112207531907","0.0",""
"Solar Santa Cecilia","-29.1171775957081","-70.9133917194247","0.0",""
"Solar Techos Altamira","-33.477198","-70.541041","0.0",""
"Sta María","-37.0419973101889","-73.1300237790262","0.0",""
"Talinay Oriente","-30.8733907491236","-71.591459796955","0.0",""
"Talinay Poniente","-30.863113828653","-71.598417944232","0.0",""
"Taltal 1","-24.9887787605363","-70.4660245381838","0.0",""
"Taltal 2","-24.9887787605363","-70.4660245381838","0.0",""
"Tambo Real","-30.04837","-70.77024","0.0",""
"Tamm","-34.716595","-71.038897","0.0",""
"Tapihue","-33.3327241284292","-71.3899479868591","0.0",""
"Teno","-34.868556018819","-71.141932460153","0.0",""
"Termopacífico","-27.4920014225435","-70.3818302750127","0.0",""
"Tirúa","-38.3244611622756","-73.4845777964087","0.0",""
"Tomaval 1","-32.848907","-71.226716","0.0",""
"Tomaval 2","-32.848907","-71.226716","0.0",""
"Trapén","-41.5177268258477","-73.0768276002896","0.0",""
"Trebal Mapocho","-33.5404222627914","-70.8362574186536","0.0",""
"Trongol-Curanilahue","-37.4913977494694","-73.32083696936","0.0",""
"Trufultruful","-38.8403084031811","-71.660785698495","0.0",""
"Ucuquer","-34.044810860803","-71.6108496593586","0.0",""
"Ucuquer 2","-34.0427186797305","-71.6223084112794","0.0",""
"Valdivia","-39.563548425934","-72.9006995973639","0.0",""
"Ventanas 1","-32.751541216153","-71.4832894633338","0.0",""
"Ventanas 2","-32.7509547863625","-71.4833051934808","0.0",""
"Viñales","-35.3710923414739","-72.410764505362","0.0",""
"Volcán","-33.8206461434895","-70.2148276322353","0.0",""
"Watt","-40.5909698987757","-73.0973461561291","0.0",""
"Watt II","-40.5893521118922","-73.0940566267917","0.0",""
"Yungay (Ex Campanario)","-37.1054883104227","-72.2933104586427","0.0",""
"AGUAS BLANCAS","-24.1354678365392","-69.8649092152273","0.0",""
"ATACAMA (CC1)","-23.0897543049551","-70.4167901265813","0.0",""
"ATACAMA (CC2)","-23.0897543049551","-70.4167901265813","0.0",""
"CHAPIQUIÑA","-18.3695066162449","-69.5468981660281","0.0",""
"DIESEL ARICA (GMAR)","-18.5286521830496","-70.29893896015649","0.0",""
"DIESEL ARICA (M1AR)","-18.53379088270606","-70.30420308182408","0.0",""
"DIESEL ARICA (M2AR)","-18.53352988489286","-70.28814551641577","0.0",""
"DIESEL ENAEX (CUMMINS)","-23.0969735885973","-70.43190104099","0.0",""
"DIESEL ENAEX (DEUTZ)","-23.0969735885973","-70.43190104099","0.0",""
"DIESEL IQUIQUE (MAIQ)","-20.2579630372769","-70.1273287062216","0.0",""
"DIESEL IQUIQUE (MIIQ)","-20.2579630372769","-70.1273287062216","0.0",""
"DIESEL IQUIQUE (MSIQ)","-20.2579630372769","-70.1273287062216","0.0",""
"DIESEL IQUIQUE (SUIQ)","-20.2579630372769","-70.1273287062216","0.0",""
"DIESEL IQUIQUEI (TGIQ)","-20.2579630372769","-70.1273287062216","0.0",""
"DIESEL TAMAYA (SUTA)","-22.1590991731043","-70.0894116175534","0.0",""
"DIESEL ZOFRI (ZOFRI 1-6)","-20.2061963978219","-70.1294343875949","0.0",""
