NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
Datang Xinyang power station,SRCWT0000253,1920.0,2017,China,China Datang Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,32.109018,114.140877,Coal,,,,,,,,
Datang Xutang power station,SRCWT0000427,1200.0,2017,China,Datang International Power Generation Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.348611,117.931944,Coal,,,,,,,,
Datang Yungang power station,SRCWT0000601,1040.0,2017,China,Shanxi Datang International Power Generation,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,40.06134,113.21922,Coal,,,,,,,,
Datun Mine power station,SRCWT0000428,390.0,2017,China,Shanghai Datun Energy Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.868576,116.9412068,Coal,,,,,,,,
Dengfeng-1 power station,SRCWT0000254,700.0,2017,China,Dengfeng Power Plant Group Co,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.453,113.05,Coal,,,,,,,,
Dengfeng-2 power station,SRCWT0000255,1900.0,2017,China,China Resources Power Holdings,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,34.39274,113.19878,Coal,,,,,,,,
Diandong Yuwang power station,SRCWT0000698,1200.0,2017,China,Huaneng Power International,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,25.1016,104.617,Coal,,,,,,,,
Diandong power station,SRCWT0000697,2400.0,2017,China,Huaneng Power International,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,25.19943,104.6819,Coal,,,,,,,,
Diaobingshan power station,SRCWT0000508,600.0,2017,China,Liaoning Energy Invest (Group) and Liaoning Energy Investment,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,42.49417,123.56621,Coal,,,,,,,,
Dingzhou power station,SRCWT0000192,2520.0,2017,China,Shenhua Guohua Electric Power Corp,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,38.5122064,114.8433969,Coal,,,,,,,,
Dongfeng Xiangfan Factory power station,SRCWT0000314,180.0,2017,China,Dongfeng Automobile Co Ltd,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,32.1220941,112.1710204,Coal,,,,,,,,
Dongming Plastic power station,SRCWT0000653,710.0,2017,China,Xinjiang East Hope Dongming Plastic Co Ltd.,SourceWatch,http://www.sourcewatch.org/index.php/Category:Existing_coal_plants_in_China,44.688508,89.113841,Coal,,,,,,,,
