NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
CURAUMA,CHL0000112,2.5,2016,Chile,TECNORED,Energía Abierta,http://energiaabierta.cl/electricidad/,-33.12913952,-71.55696002,,Oil,,,,,,,,
CURILEUFU,CHL0001027,0.0,2016,Chile,SOC. AGRICOLA Y GANADERA CURILEUFU LTDA.,Energía Abierta,http://energiaabierta.cl/electricidad/,-40.39145361,-72.53987372,,Hydro,,,,,,,,
CURILLINQUE,CHL0001028,92.0,2016,Chile,EMPRESA ELECTRICA PEHUENCHE S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-35.80511259,-70.94108214,,Hydro,,,,,,,,
Celco,CHL0003003,8.0,2016,Chile,ARAUCO BIOENERGIA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-35.32615156,-72.41634576,,Biomass,,,,,,,,
Cholguín,CHL0003004,13.0,2016,Chile,PANELES ARAUCO S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.16487933,-72.06741925,,Biomass,,,,,,,,
Coelemu,CHL0003008,7.1,2016,Chile,ENERGIA LEON S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-36.51080611,-72.73692433,,Biomass,,,,,,,,
DANISCO,CHL0000084,0.8,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-41.78211431,-73.44633347,,Oil,,,,,,,,
DEGAN,CHL0000085,36.0,2016,Chile,GENERACION DE ENERGIA NUEVA DEGAN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-42.14817266,-73.71554123,,Oil,,,,,,,,
DIEGO DE ALMAGRO (U1-U2),CHL0000050,46.8,2016,Chile,ENDESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-26.39843708,-70.03867643,,Oil,,,,,,,,
DIESEL ARICA(GMAR_M1AR),CHL0000020,14.2,2016,Chile,E-CL,Energía Abierta,http://energiaabierta.cl/electricidad/,-18.52865218,-70.29893896,,Oil,,,,,,,,
DIESEL ENAEX (CUMMINS-DEUTZ),CHL0000004,2.7,2016,Chile,ENAEX,Energía Abierta,http://energiaabierta.cl/electricidad/,-23.09697359,-70.43190104,,Oil,,,,,,,,
DIESEL IQUIQUE(MSIQ_TGIQ),CHL0000019,43.0,2016,Chile,E-CL,Energía Abierta,http://energiaabierta.cl/electricidad/,-20.25796304,-70.12732871,,Coal,Oil,,,,,,,
DIESEL TAMAYA (SUTA),CHL0000005,99.0,2016,Chile,E-CL,Energía Abierta,http://energiaabierta.cl/electricidad/,-22.15909917,-70.08941162,,Oil,,,,,,,,
DIESEL ZOFRI (ZOFRI 1-6_ZOFRI 1-5),CHL0000006,6.06,2016,Chile,ENORCHILE,Energía Abierta,http://energiaabierta.cl/electricidad/,-20.2061964,-70.12943439,,Oil,,,,,,,,
DON WALTERIO,CHL0001029,3.0,2016,Chile,GENERADORA ELECTRICA RHOM LTDA.,Energía Abierta,http://energiaabierta.cl/electricidad/,-40.55676309,-72.51586656,,Hydro,,,,,,,,
DONA HILDA,CHL0001030,0.0,2016,Chile,FORESTAL Y GANADERA CARRAN LTDA,Energía Abierta,http://energiaabierta.cl/electricidad/,-40.3328889,-72.00594803,,Hydro,,,,,,,,
DONGO,CHL0001031,6.0,2016,Chile,HIDROELECTRICA DONGO SPA,Energía Abierta,http://energiaabierta.cl/electricidad/,-42.567774,-73.894484,,Hydro,,,,,,,,
DONGUIL,CHL0001032,0.0,2016,Chile,DONGUIL ENERGIA,Energía Abierta,http://energiaabierta.cl/electricidad/,-39.12011097,-72.67428716,,Hydro,,,,,,,,
EAGON,CHL0000045,2.4,2016,Chile,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,-38.53771816,-72.46082852,,Oil,,,,,,,,
EL ARRAYAN,CHL0002005,115.0,2016,Chile,PARQUE EOLICO EL ARRAYAN SPA,Energía Abierta,http://energiaabierta.cl/electricidad/,-30.57929961,-71.69807611,,Wind,,,,,,,,
EL ARRAYAN,CHL0001033,0.0,2016,Chile,ENERGIA RENOVABLE ARRAYAN LTDA,Energía Abierta,http://energiaabierta.cl/electricidad/,-40.59814026,-72.46473814,,Hydro,,,,,,,,
EL CANELO,CHL0001034,6.0,2016,Chile,HIDROCANELO,Energía Abierta,http://energiaabierta.cl/electricidad/,-33.603061,-70.359665,,Hydro,,,,,,,,
EL DIUTO,CHL0001035,3.0,2016,Chile,HIDROELECTRICA DIUTO,Energía Abierta,http://energiaabierta.cl/electricidad/,-37.42288238,-72.08175236,,Hydro,,,,,,,,
EL LLANO,CHL0001036,2.0,2016,Chile,ELECTRICA PUNTILLA S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-33.62119952,-70.53510047,,Hydro,,,,,,,,
EL MANZANO,CHL0001037,5.0,2016,Chile,HIDROELECTRICA EL MANZANO S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,-38.83916001,-71.76333666,,Hydro,,,,,,,,
EL MIRADOR,CHL0001038,3.0,2016,Chile,HIDROELECTRICA EL MIRADOR S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,0.0,0.0,,Hydro,,,,,,,,
