NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
Cape Lambert,AUS0000462,120.0,2014,Australia,Rio Tinto Australia Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-20.648770635999938,117.14073131500004,,Gas,,,,,,,,,
Cape Nelson North Wind Farm,AUS0000112,22.0,2012,Australia,Pacific Hydro Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-38.367636999999945,141.5429590000001,,Wind,,,,,,,,,
Cape Nelson South Wind Farm,AUS0000111,44.0,2012,Australia,Pacific Hydro Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-38.41199999999998,141.54300000000012,,Wind,,,,,,,,,
Cape Preston,AUS0000457,450.0,,Australia,Citic Pacific Mining,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-21.076706137999963,116.15901566800005,,Gas,,,,,,,,,
Cape Sir William Grant Wind Farm,AUS0000110,54.0,2012,Australia,Pacific Hydro Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-38.39759299999997,141.62085000000002,,Wind,,,,,,,,,
Capital Wind Farm,AUS0000047,140.7,2012,Australia,Infigen Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-35.16603062099995,149.51856862600005,,Wind,,,,,,,,,
Capral (Aluminium Smelter),AUS0000270,300.0,2012,Australia,Capral Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-32.78972299999998,151.48130500000002,,Gas,,,,,,,,,
Carlton,AUS0000334,0.4,2012,Australia,Cogent Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-37.806118228999935,144.96065012300005,,Gas,,,,,,,,,
Carnarvon,AUS0000386,15.0,2012,Australia,,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-24.86915967899995,113.67537540600006,,Gas,,,,,,,,,
Carnarvon Solar Farm,AUS0000437,0.29,2012,Australia,EMC Solar,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-24.897029118999967,113.6741161000001,,Solar,,,,,,,,,
Catagunya,AUS0000126,48.0,2012,Australia,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-42.452380999999946,146.59768700000006,,Hydro,,,,,,,,,
Cathedral Rocks Wind Farm,AUS0000063,66.0,2012,Australia,TRUenergy & Acciona Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,-34.85086099999995,135.58517200000006,,Wind,,,,,,,,,
