NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2012,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016
BUDGE BUDGE,IND0000063,750.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2001,Coal,Oil,,,,,,5371.95,
BUDHIL,IND0000064,70.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2012,Hydro,,,,,,,234.65085000000002,
BUTIBORI TPP -II,IND0000065,600.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2013,Coal,Oil,,,,,,3305.9567,
CHAKABURA TPP,IND0000066,60.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2010,Coal,Oil,,,,,,373.919000361581,
CHAMERA II,IND0000067,300.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2003,Hydro,,,,,,,1491.2164500000001,
CHAMERA-I,IND0000068,540.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1994,Hydro,,,,,,,2539.041,
CHAMERA-III,IND0000069,231.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2012,Hydro,,,,,,,1015.6761,
CHANDRAPURA,IND0000072,890.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1990,Coal,Oil,,,,,,4488.057,
CHANDRAPUR_Coal,IND0000070,2840.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1994,Coal,Oil,,,,,,11385.842,
CHEMBUKADAVU-II,IND0000073,3.75,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2004,Hydro,,,,,,,,
CHENANI I&III,IND0000074,30.8,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1979,Hydro,,,,,,,57.12693,
CHHABRA TPS,IND0000075,1000.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2011,Coal,Oil,,,,,,4088.539,
CHIBRO (YAMUNA),IND0000076,240.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1975,Hydro,,,,,,,867.7395,
CHILLA,IND0000077,144.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1980,Hydro,,,,,,,796.48755,
CHUTAK,IND0000078,44.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2012,Hydro,,,,,,,35.3225,
CHUZACHEN,IND0000079,99.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2013,Hydro,,,,,,,428.70570000000004,
D.P.L.,IND0000080,891.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1995,Coal,Oil,,,,,,1228.69,
DADRI (NCTPP),IND0000081,1820.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2001,Coal,Oil,,,,,,11466.0,
DADRI GT,IND0000082,816.4,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1992,Oil,Gas,,,,,,2462.0,
DAMODARAM SANJEEVAIAH,IND0000083,1600.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2014,Coal,Oil,,,,,,1025.3845,
DEHAR,IND0000084,990.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1979,Hydro,,,,,,,3135.3047,
DERANG,IND0000085,1200.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2014,Coal,Oil,,,,,,481.94575000000003,
DGEN MEGA CCCP,IND0000086,1200.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2014,Gas,,,,,,,0.0,
DHAKRANI,IND0000087,33.75,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1967,Hydro,,,,,,,148.66295,
DHALIPUR,IND0000088,51.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1967,Hydro,,,,,,,229.9843,
DHANU,IND0000089,500.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1995,Coal,Oil,,,,,,3642.26,
DHARIWAL INF TPP,IND0000090,600.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2013,Coal,Oil,,,,,,382.45,
DHAULI GANGA,IND0000091,280.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2005,Hydro,,,,,,,739.77255,
DHOLPUR,IND0000092,330.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2007,Gas,,,,,,,829.1142,
DHUVARAN CCPP,IND0000094,595.2,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2010,Gas,,,,,,,145.814,
DIMBE,IND0000095,5.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1997,Hydro,,,,,,,,
DLF,IND0000096,15.5,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1997,Gas,,,,,,,,
DONKARAYI,IND0000097,25.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1983,Hydro,,,,,,,,
DOYANG,IND0000098,75.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2000,Hydro,,,,,,,164.32425,
DUDH GANGA,IND0000099,24.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2000,Hydro,,,,,,,,
DULHASTI,IND0000100,390.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2007,Hydro,,,,,,,2165.54785,
DURGAPUR,IND0000101,350.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1975,Coal,Oil,,,,,,1153.653,
DURGAPUR STEEL TPS,IND0000102,1000.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2011,Coal,Oil,,,,,,3633.396,
E.G. CANAL,IND0000103,15.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1996,Hydro,,,,,,,,
ELDARI,IND0000104,22.5,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1968,Hydro,,,,,,,,
EMCO WARORA TPP,IND0000105,600.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2013,Coal,Oil,,,,,,3277.35,
ENNORE,IND0000106,450.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1972,Coal,Oil,,,,,,485.136,
ESSAR GT IMP.,IND0000107,515.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1995,Gas,,,,,,,0.0,
FARAKKA STPS,IND0000110,2100.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1995,Coal,Oil,,,,,,12467.0,
F_BAD CCGT,IND0000108,431.586,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1999,Gas,,,,,,,1527.0,
G.I.P.C.L. GT,IND0000111,310.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1994,Gas,,,,,,,699.4,
GAJ,IND0000112,10.5,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1996,Hydro,,,,,,,,
GANDHAR GT,IND0000113,648.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1994,Gas,,,,,,,1562.0,
GANDHARBAL,IND0000114,15.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1959,Hydro,,,,,,,,
GANDHI NAGAR,IND0000115,870.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1988,Coal,Oil,,,,,,3034.575,
GANDHI SAGAR,IND0000116,115.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1961,Hydro,,,,,,,270.78925,
GANGUWAL,IND0000117,77.65,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,1957,Hydro,,,,,,,420.77555,
GAUTAMI CCCP,IND0000118,468.57,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2008,Gas,,,,,,,0.0,
GEPL,IND0000119,120.0,2015,India,,Central Electricity Authority and REC Registry of India,"http://www.cea.nic.in/,https://www.recregistryindia.nic.in/",,,2012,Coal,Oil,,,,,,0.0,
