name,wri_idnr,capacity_mw,fuel,country,owner,source,latitude,longitude
CAIRB,48WSTN0000CAIRBU,42.0,Wind,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
LITTIGHEDDU,26WIMPI-S20SDNLH,64.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Kraftwerk Voerde,11WD7VOER1S--KWG,1390.0,Coal,DE,BDEW,https://transparency.entsoe.eu/api?,0.0,0.0
International Paper Kwidzyn,19W0000000002337,111.6,Coal,PL,PSE S.A.,https://transparency.entsoe.eu/api?,0.0,0.0
SPERANDO,26WIMPI-V09SPRN0,8.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Järpströmmen,46WPU0000000019O,114.0,Hydro,SE,SVK,https://transparency.entsoe.eu/api?,0.0,0.0
GUSPINI,26WIMPI-S20FGRLL,24.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Letsi,46WPU0000000035Q,440.0,Hydro,SE,SVK,https://transparency.entsoe.eu/api?,0.0,0.0
VilniausE3,41W3185595680EL8,360.0,Gas,LT,LITGRID UAB,https://transparency.entsoe.eu/api?,0.0,0.0
LCLTW,48WSTN0000LCLTWH,69.0,Wind,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
WHILW,48WSTN1000WHILWQ,560.0,Wind,UK,NationalGrid,https://transparency.entsoe.eu/api?,0.0,0.0
CARLENTINI  ,26WIMPI-C19CCRLM,24.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Bakonyi Gázturbinás Erőmű,15WBAKONY----PP6,113.7,Gas,HU,Mavir,https://transparency.entsoe.eu/api?,0.0,0.0
NOGENT 1,17W100P100P0219G,1310.0,Nuclear,FR,RTE,https://transparency.entsoe.eu/api?,0.0,0.0
Wallsee-Mitterkirchen,14W-BWM-KW-----L,210.0,Hydro,AT,APCS,https://transparency.entsoe.eu/api?,0.0,0.0
NUOVA MOLINETTO,26WIMPI-S09NMVLG,18.0,Geothermal,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
SAN SOSTENE,26WIMPI-S18SSNSD,79.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
ROTELLO,26WIMYI-S14IRVPB,42.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Greifenstein,14W-BGS-KW-----Q,293.0,Hydro,AT,APCS,https://transparency.entsoe.eu/api?,0.0,0.0
AGRI,26WIMPI-S17AGRIH,39.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
RIO PUSTERIA,26WIMPI-S04RPST7,21.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
Bergeforsen,46WPU0000000051S,160.0,Hydro,SE,SVK,https://transparency.entsoe.eu/api?,0.0,0.0
SAINT GUILLERME,17W100P100P0299T,116.0,Hydro,FR,RTE,https://transparency.entsoe.eu/api?,0.0,0.0
Maudal,50WP000000004504,25.0,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
Újpesti Erőmű,15WUJPEST----PPO,102.3,Gas,HU,Mavir,https://transparency.entsoe.eu/api?,0.0,0.0
Vikaelva,50WP00000000817N,5.4,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
EBRACC1,18WEBRACC1-123-Y,429.1,Hydro,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
Windpark Egmond aan Zee,49W000000000111A,108.0,Wind,NL,Tennet NL,https://transparency.entsoe.eu/api?,0.0,0.0
LUCITO,26WIMPI-S14LCTU3,34.0,Wind,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
GALLICANO,26WIMPI-S09GLLCT,25.0,Hydro,IT,Terna,https://transparency.entsoe.eu/api?,0.0,0.0
SIL-BIB-EU,18WSBEU-12345-0Q,625.9,Hydro,ES,REE,https://transparency.entsoe.eu/api?,0.0,0.0
Oldereid,50WP00000000534Z,12.6,Hydro,NO,Statnett,https://transparency.entsoe.eu/api?,0.0,0.0
