NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,annual_generation_gwh,year_of_generation_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4
Xiyinghe Sangou Bundled Hydropower Project,CDMDB0004131,7.2,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,37.941,102.2753,Hydro
Yunnan Tianhuaban Hydropower Project,CDMDB0004133,180.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,27.0461,103.2742,Hydro
Anhui Susong Xihuwei Huagang Wind Farm Project,CDMDB0008435,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,29.974,116.383,Wind
Power generation from bundled wind energy project in Gujarat  India,CDMDB0005649,7.7,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,22.13111,70.27608,Wind
Gansu Wuwei Grid-connected 10MW Solar Power Generation Project,CDMDB0008437,10.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,38.0896,102.289,Solar
Gansu Guazhou Ganhekou No.8 Wind Farm Project,CDMDB0004138,201.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,40.6397,95.3125,Wind
Zafarana 85 MW Wind Power Plant Project,CDMDB0004687,85.0,None,None,None,Egypt,,Clean Development Mechanism,https://cdm.unfccc.int,29.28,32.58,Wind
Oaxaca I Wind Farm,CDMDB0004684,102.0,None,None,None,Mexico,,Clean Development Mechanism,https://cdm.unfccc.int,16.56556,-94.70361,Wind
BK Energia Itacoatiara Project,CDMDB0000168,9.0,None,None,None,Brazil,,Clean Development Mechanism,https://cdm.unfccc.int,-3.05,-58.43333,Biomass
ECIL Bundled Wind Energy Project in India,CDMDB0008123,15.65,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Gongcheng Xiling Wind Power Project,CDMDB0008120,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,24.9,110.7917,Wind
Renewable Wind Energy by Fortune Five Hydel Projects (P) Limited,CDMDB0007880,100.8,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,16.5,76.1228,Wind
Inner Mongolia Wulatehouqi Chaoge Wind Farm Project,CDMDB0005319,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Ningxia Zhongwei Xiangshan Wind-farm Guodian Zhuanwazitang 49.5MW Project,CDMDB0008125,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,37.1698,105.2589,Wind
Zhenlai Heiyupao Windfarm Project (Phase IV),CDMDB0008124,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,44.6758,122.4614,Wind
Bundled Wind Project in TKM,CDMDB0009433,6.4,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Atiaia - Buriti Small Hydropower Plant.,CDMDB0000891,58.0,None,None,None,Brazil,,Clean Development Mechanism,https://cdm.unfccc.int,-20.265,-52.5219,Hydro
GHG abatement through solar power generation in Bikaner  Rajasthan  India,CDMDB0009321,10.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Solar
Jilin Tongyu Tuanjie wind project  100.3 MW,CDMDB0000897,100.3,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,44.13,122.02,Wind
20MW Samal Grid-connected Hydroelectric Project in Orissa  India,CDMDB0000895,20.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,21.04,85.07,Hydro
Xinjiang Dabancheng Sanchang First Phase Wind Farm Project,CDMDB0000894,30.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,43.31,87.51,Wind
Liaoning Fuxin Houzhatai Wind Farm Project,CDMDB0005862,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,42.3833,121.6775,Wind
Wind based power generation by Panama Wind Energy Private Limited in Maharashtra  India,CDMDB0008524,100.8,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Liaoning Guoli Fuxin Wangsiyingzi Wind Power Project,CDMDB0009062,48.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,41.9922,122.0563,Wind
Shanxi Tianzhen Daliangshan Wind Farm Phase I Project,CDMDB0006322,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,40.5925,114.15083,Wind
Macedonian SHPP Bundle III,CDMDB0009409,13.586,None,None,None,Macedonia,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Hydro
12 MW Wind Mill Project of GSFC Ltd,CDMDB0006551,12.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Bundled Wind Power Project by Peethambra Granites Pvt Ltd (EKIESL-CDM. November -11-01),CDMDB0008890,4.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
GHG abatement project through wind based energy generation  in Kutch  Gujarat,CDMDB0005087,60.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
Project for the reduction of greenhouse gas emissions of Hidroelectrica La Confluencia S.A.,CDMDB0004229,160.0,None,None,None,Chile,,Clean Development Mechanism,https://cdm.unfccc.int,-34.82972,-70.55139,Hydro
Shaanxi Province Zhenping County Anningdu Hydropower Project,CDMDB0005084,20.0,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,32.11306,109.57111,Hydro
Xinjiang Dabancheng Phase I Wind Power Project,CDMDB0005083,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,43.4678,88.15458,Wind
Lopburi Solar Power Plant Project,CDMDB0005082,73.16,None,None,None,Thailand,,Clean Development Mechanism,https://cdm.unfccc.int,15.05047,100.89228,Solar
Huaneng Shandong Hekou Phase II Wind Farm Project,CDMDB0005081,49.5,None,None,None,China,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
6 MW bundled Wind Power Project in Rajkot and Kutch districts of Gujarat,CDMDB0007952,6.0,None,None,None,India,,Clean Development Mechanism,https://cdm.unfccc.int,None,None,Wind
