NOTE: This Power Watch database of power plants is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,annual_generation_gwh,year_of_generation_data,country,owner,source,url,latitude,longitude,fuel1,fuel2,fuel3,fuel4
Summa tv,FIN000241,12.0,2017.0,None,None,Finland,Haminan Energia,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Wind
Sunila,FIN000242,35.7,2017.0,None,None,Finland,Stora Enso Oyj,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Waste,Gas,Biomass
Suomenojan voimalaitos,FIN000243,358.0,2017.0,None,None,Finland,Fortum Power and Heat Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Coal,Oil,Gas
Suosiola,FIN000244,30.0,2017.0,None,None,Finland,ROVANIEMEN ENERGIA OY,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Waste,Biomass
Svalskulla,FIN000245,15.0,2017.0,None,None,Finland,VindIn Svalskulla Ab/Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Wind
Sysimylly,FIN000246,2.5,2017.0,None,None,Finland,Sysituuli Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Wind
Tahkoluoto,FIN000247,0.0,2017.0,None,None,Finland,PVO-Lämpövoima Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Coal,Oil
Tahkoluoto Offshore tv,FIN000248,2.3,2017.0,None,None,Finland,Suomen Hyötytuuli Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Wind
Tahkoluoto kt,FIN000249,52.0,2017.0,None,None,Finland,Fingrid Oyj,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Oil
Unknown,FIN000329,3.7,2017.0,None,None,Finland,Raseborgs stad / Ekenäs Energi,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Biomass
Unknown,FIN000328,35.0,2017.0,None,None,Finland,Äänevoima Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Waste,Biomass
Unknown,FIN000323,6.0,2017.0,None,None,Finland,Metsä Board Oyj,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Hydro
Unknown,FIN000322,0.9,2017.0,None,None,Finland,Puolustushallinnon rakennuslaitos,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Oil
Unknown,FIN000321,25.1,2017.0,None,None,Finland,Kemphos Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Waste,Oil
Unknown,FIN000320,4.0,2017.0,None,None,Finland,Kuhmon Lämpö Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Waste,Biomass
Unknown,FIN000327,48.0,2017.0,None,None,Finland,Metsä Fibre Oy,Energiavirasto,http://www.energiavirasto.fi/documents/10191/0/Energiaviraston+Voimalaitosrekisteri+010117.xlsx/fa2c9bd2-e436-4dbb-a2e5-074ecbf11d23,0.0,0.0,Oil,Biomass
