Plant Code,Plant Name,Owner,NERC Region,Latitude,Longitude,Weighted Year.Month,Primary Fuel,Total Capacity (MW),Net Generation (MWh)
59059,Raritan ITS,Janssen Pharmaceutical Co,RFC,40.574444,-74.654167,2011,Solar,4,2343
59060,Waste Water Treatment Plant,City of Pittsfield,NPCC,42.41,-73.24,2013,Solar,3,1686
59072,Wooster Renewable Energy,Wooster Renewable Energy LLC,RFC,40.785,-81.951389,2014,Waste,1,4215
59073,Cove Point LNG Terminal,"Dominion Cove Point LNG, LP",RFC,38.385456,-76.409796,2000,Gas,91.6,129703
59074,"SC 1 Data Center, Phase 2",Xeres Ventures LLC,WECC,37.361667,-121.943611,2013,Oil,53.6,461
59075,Brewster Landfill,CF CVEC Owner One LLC,NPCC,41.745556,-70.103056,2015,Solar,2,284
59077,Chatham Landfill,CF CVEC Owner One LLC,NPCC,41.686111,-70.006111,2015,Solar,3,396
59078,Harwich Landfill,CF CVEC Owner One LLC,NPCC,41.696111,-70.091944,2015,Solar,8,1973
59079,Katama Farm,CF CVEC Owner One LLC,NPCC,41.361111,-70.516944,2015,Solar,2,793
59080,Nunnepog,CF CVEC Owner One LLC,NPCC,41.358889,-70.505,2015,Solar,2,957
59081,Barnstable Landfill,CF CVEC Owner One LLC,NPCC,41.659722,-70.395556,2015,Solar,8,1028
59082,Dennis Landfill,CF CVEC Owner One LLC,NPCC,41.693056,-70.145,2015,Solar,10,1109
59083,Limon III Wind LLC,Limon,WECC,39.353333,-103.474167,2015,Wind,401.2,245588
59085,Lepomis PV Energy LLC,"EDF Renewable Asset Holdings, Inc.",NPCC,41.857222,-70.558333,2015,Solar,9,3441
59090,Rockland Solar,Rockland Solar,NPCC,42.089167,-70.897778,2014,Solar,5,3056
59094,Division 1,SolarCity Corporation,WECC,34.708333,-118.130556,2015,Solar,3,1609
59095,Division 2,SolarCity Corporation,WECC,34.708333,-118.130556,2015,Solar,2,1063
59096,Division 3,SolarCity Corporation,WECC,34.708333,-118.130556,2015,Solar,2,1020
59097,Berry Plastics Solar,Berry Plastics Solar,RFC,40.698333,-75.151944,2014,Solar,20.2,15866
59098,Kettering Solar 1,SolarCity Corporation,WECC,34.700278,-118.123611,2015,Solar,2,897
59099,Kettering Solar 2,SolarCity Corporation,WECC,34.700278,-118.123611,2015,Solar,2,873
59100,Chauncey Farm LLC,Chauncey Farm,SERC,34.3375,-78.521944,2015,Solar,9.8,4403
59102,Dragstrip Farm,Dragstrip Farm LLC,SERC,35.758056,-81.416111,2015,Solar,10,883
59105,Market Farm,Market Farm LLC,SERC,36.390278,-79.647222,2015,Solar,9.8,1123
59106,Snow Hill Solar 2 LLC,Snow Hill Solar 2 LLC,SERC,35.444167,-77.649444,2015,Solar,4,2149
59107,Mount Olive Farm,Mount Olive Farm LLC,SERC,35.201944,-78.081667,2015,Solar,10,423
59109,Spicewood Solar Farm LLC,Spicewood Solar Farm LLC,SERC,35.3025,-79.701667,2015,Solar,10,3597
59110,Springfield Solar 1 LLC,Springfield Solar 1 LLC,SERC,37.246389,-93.166389,2015,Solar,9.8,4646
59115,Anderson Farm LLC,Anderson Farm LLC,SERC,34.975556,-78.516667,2015,Solar,3.8,499
59116,Woodbine Landfill Plant,Cape May County Municipal,RFC,39.231111,-74.780833,2014,Waste,3.2,16502
59119,Warsaw I,"Warsaw Solar, LLC",SERC,35.01,-78.11,2014,Solar,4,3638
59120,Warsaw II,Warsaw Solar 2 LLC,SERC,35.01,-78.05,2014,Solar,4,3660
59121,Acushnet-Braley Road 1,Borrego Solar Systems Inc,NPCC,41.751667,-70.970556,2014,Solar,3.8,2539
59122,Enerparc CA1 LLC,"Enerparc CA 1, LLC",WECC,36.831667,-121.404167,2015,Solar,3,1995
59123,Moncure Farm LLC,Moncure Farm LLC,SERC,35.568333,-79.0325,2015,Solar,10,4813
59124,Martin Creek Farm LLC,Martin Creek Farm LLC,SERC,36.286389,-78.386111,2015,Solar,6,4595
59125,Kinston,Kinston Solar LLC,SERC,35.370556,-77.608333,2015,Solar,4,3075
59126,Daniel Farm LLC,Daniel Farm LLC,SERC,35.848889,-80.553611,2015,Solar,10,7832
59127,Bailey Farm LLC,Bailey Farm LLC,SERC,35.7875,-78.139722,2014,Solar,10,9386
59128,Acushnet- High Hill,Borrego Solar Systems Inc,NPCC,41.714444,-70.997222,2014,Solar,6.4,4385
59129,CSD 2- Freedom High,Borrego Solar Systems Inc,WECC,37.969722,-121.719444,2014,Solar,2.2,1765
59130,CSD 2 - Heritage High,Borrego Solar Systems Inc,WECC,37.921944,-121.755556,2014,Solar,2.6,2237
59131,Dartmouth Landfill,Borrego Solar Systems Inc,WECC,41.581111,-70.998056,2014,Solar,2.6,1829
59132,EAFB - North Base,Borrego Solar Systems Inc,WECC,34.9325,-117.907222,2013,Solar,2.2,2592
59133,EAFB - South Base,Borrego Solar Systems Inc,WECC,34.917222,-117.900278,2013,Solar,2.2,2158
59134,Easton Landfill,Borrego Solar Systems Inc,NPCC,42.010278,-71.092222,2014,Solar,3.8,2475
59135,Ludlow Landfill,Borrego Solar Systems Inc,NPCC,42.182222,-72.5075,2014,Solar,5.2,3306
59136,Methuen Landfill,Borrego Solar Systems Inc,NPCC,42.744722,-71.175,2014,Solar,2.6,1588
59137,Plymouth Site 1,Borrego Solar Systems Inc,NPCC,41.96,-70.778611,2014,Solar,11.2,6824
59138,SDCCD - Miramar,Borrego Solar Systems Inc,WECC,32.906111,-117.121389,2012,Solar,2.2,1867
59139,SDCWA - Twin Oaks,Borrego Solar Systems Inc,WECC,33.21,-117.170556,2012,Solar,2.2,1961
59140,EDF Lancaster,"EDF Renewable Asset Holdings, Inc.",NPCC,42.529167,-71.665278,2015,Solar,9,3209
59142,Manatee County LFGTE,Manatee County Utilities Department,FRCC,27.468889,-82.450833,2014,Waste,1.6,11882
59143,Front Range Project,Timberline Energy LLC,WECC,40.029444,-105.004722,2012,Waste,3.2,23529
59144,Brighton PV Solar Plant,Hangar 160 LLC,WECC,39.9825,-104.940833,2013,Solar,3.6,3319
59146,XPF Solar Field,United Therapeutics Corporation,SERC,35.911667,-78.873333,2015,Solar,7.8,257
59151,Harvest Power Orlando,Harvest Power Orlando LLC,FRCC,28.376111,-81.590556,2014,Waste,3.2,10973
59156,Carter PV1,"Ecoplexus, Inc",SERC,35.021111,-78.7875,2015,Solar,10,0
59157,Pecan PV1,"Ecoplexus, Inc",SERC,34.909167,-79.829444,2015,Solar,10,0
59158,Langley PV1,"Ecoplexus, Inc",SERC,35.801944,-77.848889,2015,Solar,10,0
59166,Bridgeport Disposal Solar Farm,Bridgeport Disposal LLC,RFC,39.7875,-75.350833,2012,Solar,2.4,1914
59167,Lancaster Solar 1,"PsomasFMG Lancaster Solar Crest, LLC",WECC,34.715,-118.095,2015,Solar,3,131
59168,Avalon Solar,Avalon Solar,WECC,32.001389,-110.960556,2015,Solar,58,0
59169,Lancaster Solar 2,"PsomasFMG Lancaster Solar Crest, LLC",WECC,34.710556,-118.166111,2015,Solar,3,106
59170,Jakana Solar,Jakana Solar,SERC,35.875278,-77.081111,2015,Solar,10,651
59171,Windsor Solar,Windsor Solar LLC,SERC,36.016944,-76.883056,2015,Solar,10,220
59174,Lewiston Solar,Lewiston Solar LLC,SERC,36.141111,-77.211111,2015,Solar,10,146
59176,Williamston Solar,Williamston Solar LLC,SERC,35.801111,-77.063056,2015,Solar,10,320
59178,Franklin 1,CD US Solar MT 2 LLC,NPCC,42.040556,-71.393611,2014,Solar,6,4561
59179,Franklin 2,CD US Solar MT 2 LLC,NPCC,42.054167,-71.391667,2014,Solar,8,6011
59181,AgriReNew,AgriReNew,MRO,41.691944,-90.866389,2014,Waste,1,3886
59182,Hesperia,SunEdison LLC,WECC,34.435,-117.378056,2015,Solar,3,892
59184,Mulberry Farm LLC,Dominion Renewable Energy,SERC,35.131944,-88.586667,2015,Solar,31.6,1108
59185,Jacobstown,NJR Clean Energy Ventures Corporation,RFC,40.062778,-74.580556,2015,Solar,10,1366
59186,West Pemberton,NJR Clean Energy Ventures Corporation,RFC,40.006667,-74.730278,2015,Solar,14,6304
59188,Selmer Farm LLC,Dominion Renewable Energy,SERC,35.149722,-88.555278,2015,Solar,31.6,3893
59189,East Wayne Solar LLC,East Wayne Solar LLC,SERC,35.441667,-77.85,2015,Solar,4,3090
59190,Vickers,Vickers Farm LLC,SERC,35.823333,-79.080278,2015,Solar,4,1320
59191,Soluga Farms 1,Soluga Farms 1 LLC,SERC,35.243056,-78.386944,2015,Solar,10,5218
59192,Soluga Farms 2 LLC,Soluga Farms 2 LLC,SERC,34.5,-78.689167,2015,Solar,10,3117
59194,Portable Generator 2,Montana-Dakota Utilities Co,MRO,48.145,-103.6375,2013,Oil,2,3
59195,Portable Generator 3,Montana-Dakota Utilities Co,MRO,48.145,-103.6375,2013,Oil,2,2
59196,Portable Generator 1,Montana-Dakota Utilities Co,MRO,47.833333,-103.643611,2006,Oil,1.8,8
59198,Sterling PV 3,"Ecoplexus, Inc",WECC,40.632222,-103.196111,2015,Solar,3.2,0
59199,Mesa PV1,"Ecoplexus, Inc",WECC,39.0675,-108.509444,2015,Solar,3.2,1
59203,Farmersville,Sequoia PV 1 LLC,WECC,36.19,-119.12,2015,Solar,9,3158
59204,OCI Alamo 3 LLC,OCI Solar Power,TRE,29.479167,-98.297222,2015,Solar,11,0
59219,Porterville 6 and 7,Sequoia PV 3 LLC,WECC,36.05,-119.02,2015,Solar,6,2330
59221,Pecan Row Landfill To Electric Facility,ESG Biofuels (Southern Georgia) Company LLC,SERC,30.815,-83.3625,2014,Waste,4.8,26717
59233,Cogeneration 2,University of Arizona,WECC,32.240833,-110.948333,2003,Gas,6.5,34038
59237,Lone Valley Solar Park II LLC,Lone Valley Solar Park II LLC,WECC,34.408333,-116.8625,2015,Solar,40,4546
59238,Windthorst-2,Windthorst-2 LLC,TRE,33.495278,-98.5,2015,Wind,135.2,51834
59239,Eagle Springs Solar LLC,Eagle Springs Solar LLC,WECC,39.526111,-107.696111,2014,Solar,2,1239
59240,Green Gas-Port Charlotte LLC,"Green Gas Americas, Inc.",FRCC,26.790833,-81.965278,2012,Waste,3,18230
59241,Brockelman,"Integrys MA Solar, LLC",NPCC,42.481389,-71.716944,2014,Solar,6,4914
59242,Beverly,"Integrys MA Solar, LLC",NPCC,42.59,-70.911944,2015,Solar,4,2235
59248,CCMUA,"Camden Solar Center, LLC",RFC,39.923056,-75.1275,2013,Solar,3,2288
59254,Johnston LFG Turbine Plant,Rhode Island LFG Genco,NPCC,41.803333,-71.523333,2014,Waste,34,206695
59255,Osprey Point RES,"Hoosier Energy R E C, Inc",RFC,39.059167,-87.506111,2014,Gas,13.2,19626
