PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh,Data Year
1018617,OCAÑA,Hydro,26,,,,,Elecaustro,203,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,89%,,,Ecuador,,,,,,,,,,,,,,2013
1018618,Paute,Hydro,"1,100",,,,10,CELEC EP,"5,856",,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,62.28%,,,Ecuador,,-2.594968,-78.22737,,,,,,,,,,,2013
1018619,Pucará,Hydro,73,,,,,CELEC EP,149.4,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,23.40%,,,Ecuador,,,,,,,,,,,,,,2013
1018620,Quevedo,Diesel,102,,Diesel Engine,,,Termopichincha,474.3,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018621,Recuperadora,Hydro,14.5,,,,,Emaap-Q,102.6,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,81.90%,,,Ecuador,,,,,,,,,,,,,,2013
1018622,Sacha,Diesel,20.4,,Diesel Engine,,,Termopichincha,74.23,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018623,San Fransisco,Hydro,216,,,2007,2,CELEC EP,914,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,45.30%,,,Ecuador,,,,,,,,,,,,,,2013
1018624,Santa Rosa,Natural Gas,51.3,,OCGT,,3,Termopichincha,17.9,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,,,,Ecuador,,,,,,,,,,,,,,2013
1018625,Saucay,Hydro,24,,,,,Elecaustro,141.42,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,68.20%,,,Ecuador,,,,,,,,,,,,,,2013
1018626,Saymirin,Hydro,14.4,,,,,Elecaustro,96.26,,Agencia de Regulacion y Control de Electricidad,http://www.regulacionelectrica.gob.ec/wp-content/uploads/downloads/2015/12/vol1-Resumen-Ejecutivo-PME-2013-2022.pdf,,,,,77.20%,,,Ecuador,,,,,,,,,,,,,,2013
