PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022077,Runatullo III,Hydro,20,,,,,Empresa de Generación Eléctrica Junín S.A.C.,116,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022078,Las Pizarras,Hydro,20,,,,,Empresa Eléctrica Rio Doble S.A.,99,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022079,Huanchor,Hydro,20,,,,,Hidroeléctrica Huanchor S.A.C.,146,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022080,Runatullo III,Hydro,19.1,,,,,Empresa de Generación Eléctrica Junín S.A.C.,104,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022081,Pias 1,Hydro,12.6,,,,,Aguas y Energía Perú S.A.,91,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022082,La joya,Hydro,10.4,,,,,Generadora de Energía del Perú S.A.,53,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022083,Carchuaquero IV,Hydro,10,,,,,Duke Energy Egenor S en C por A.,80,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022084,Huasahuasi I,Hydro,10,,,,,Hidroeléctrica Santa Cruz S.A.C,51,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022085,Huasahuasi II,Hydro,10,,,,,Hidroeléctrica Santa Cruz S.A.C,54,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
1022086,Santa Cruz II,Hydro,7.8,,,,,Hidroeléctrica Santa Cruz S.A.C,38,,Peru Ministry of Energy and Mines,http://www.minem.gob.pe/minem/archivos/Capitulo%203%20Generacion%20electrica%202015%20FINAL.pdf,,,,,,,,,,Peru,,,,,,,,,,,,,
