PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1020036,Saijo,Coal,406,,Sub-critical Thermal,,"1x156, 1x250",Shikoku,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020038,Karita,Coal,360,,Sub-critical Thermal,,,Kyushu,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020030,Naie,Coal,350,,Sub-critical Thermal,,2x175,Hokkaido,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020042,Ishikawa,Coal,315,,Sub-critical Thermal,,2x156,J-Power,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020040,Gushikawa,Coal,312,,Sub-critical Thermal,,2x156,Okinawa,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020043,Niihama-nishi,Coal,300,,Sub-critical Thermal,,"2x175, 1x150",Sumitomo Joint Electric Power,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020044,Niihama-higashi,Coal,280,,Sub-critical Thermal,,"1x250, 1x27, 1x3",Sumitomo Joint Electric Power,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020033,Oozaki,Coal,259,,Sub-critical Thermal,,,Chugoku,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020031,Sunagawa,Coal,250,,Sub-critical Thermal,,2x125,Hokkaido,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020045,Nyugawa,Coal,250,,Sub-critical Thermal,,,Sumitomo Joint Electric Power,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
1020057,Ube Industries,Coal,195,,Sub-critical Thermal,,,Ube Industries,,,Sekitan,http://sekitan.jp/wp-content/uploads/2014/06/list-of-Coal-Fired-Power-Plants-in-Japan.pdf,,,,,,,,Japan,,,,,,,,,,,,,
