PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,Data Year
1003664,Belgorod TPP (thermal power plant),Natural Gas,60,,,1938,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003667,Berezniki CHPP-10,Natural Gas,27,,,1953,,t+group,,1,t+group,Berezniki CHPP-10,,,,,,,,Russia,,,,,,,,,,,,
1003668,Berezniki CHPP-2,natural Gas,98,,,1947,,t+group,,1,t+group,Berezniki CHPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003668,Berezniki CHPP-4,Natural Gas,29.4,,,1931,,t+group,,1,t+group,Berezniki CHPP-4,,,,,,,,Russia,,,,,,,,,,,,
1003670,Bezymyanskaya CHP,Natural Gas,170,,,1938,6 units,t+group,,1,t+group,Bezymyanskaya CHP,,,,,,,,Russia,,,,,,,,,,,,
1003672,Blagoveshenskaya CHPP,Natural Gas,280,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003680,Cheboksary CHPP=2,Natural Gas,460,,,1979,,t+group,,1,t+group,Cheboksary CHPP=2,,,,,,,,Russia,,,,,,,,,,,,
1003681,Chelyabinsk CHP-1,Natural Gas,233,,,1942,,Fortum,,,Fortum,Fortum Heat and Power,,,,,,,,Russia,,,,,,,,,,,,2016
1003681,Chelyabinsk CHP-2,Natural Gas,320,,,1960-1968,2(60)2(100),Fortum,,,Fortum,Fortum Heat and Power,,,,,,,,Russia,,,,,,,,,,,,2016
1003681,Chelyabinsk CHP-3,Natural Gas,576,,,1996-2011,,Fortum,,,Fortum,Fortum Heat and Power,,,,,,,,Russia,,,,,,,,,,,,2016
1003682,Chelyabinsk GRES,Natural Gas,495,,,1996-2004,"286, 209",Fortum,,,Fortum,Fortum Heat and Power,,,,,,,,Russia,,,,,,,,,,,,2016
1003685,CHP Volga Car,Natural Gas,"1,172",,,1967,11 units,t+group,,1,t+group,CHP Volga Car,,,,,,,,Russia,,,,,,,,,,,,
1003686,CHP-11 (MJ Ufaev),Natural Gas,330,,,1936,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003687,CHP-12,Natural Gas,408,,,1941,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003687,CHP-16,Natural Gas,360,,,1955,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003689,CHP-20,Natural Gas,730,,,1952,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003690,CHP-21,Natural Gas,"1,760",,,1963,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003692,CHP-23,Natural Gas,"1,420",,,1966,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003692,CHP-25,Natural Gas,"1,370",,,1975,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003692,CHP-26,Natural Gas,"1,840",,,1979,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003692,CHP-27,Natural Gas,"1,060",,,1992,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003693,CHP-8,Natural Gas,605,,,1930,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003694,Chulmanskaya CHPP,Natural Gas,48,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003696,Dankov TPP,Natural Gas,10,,,1961,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003697,Dyagilev TPP,Natural Gas,110,,,1958,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003698,Dzerzhinsk TPP,Natural Gas,580,,,2005,,t+group,,1,t+group,Dzernzhinsk TPP,,,,,,,,Russia,,,,,,,,,,,,
1003699,Dzhubginskaya,Natural Gas,138,,,2013,,Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003700,Efremov TPP,Natural Gas,160,,,1931,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003701,Egvenkinotskaya TPP,Natural Gas,34,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003702,Elets TPP,Natural Gas,57,,,1955,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003703,Engels TPP-3,Natural Gas,182,,,1958,,t+group,,1,t+group,Engels TPP-3,,,,,,,,Russia,,,,,,,,,,,,
1003704,GES-1 (PG Smidovich),Natural Gas,576,,,1897,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003705,"GT-TPP (gas turbine TPP) ""Luch""",Natural Gas,60,,,2005,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003707,Gubkin TPP,Natural Gas,29,,,1954,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003711,Iriklinskaya,Natural Gas,2430,,,1970,8(300)1(30),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003712,Ivanovskaya CHPP-2,natural Gas,200,,,1954,,t+group,,1,t+group,Ivanova Branch,,,,,,,,Russia,,,,,,,,,,,,
1003712,Ivanovskaya CHPP-3,natural Gas,330,,,1974,,t+group,,1,t+group,Ivanova Branch,,,,,,,,Russia,,,,,,,,,,,,
1003713,Ivanovskiye,Natural Gas,325,,,2008,,Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003714,Izhevsk HPP-1,Natural Gas,291,,,1986-2011,"60, 231",t+group,,1,t+group,Izhevsk HPP-1,,,,,,,,Russia,,,,,,,,,,,,
