PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Effeciency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language
1000384,Ming-Tan,Hydro,"1,602",,Pumped Storage,1982-1993,6x267,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000385,New Tienlun,Hydro,110,,Dam,1987-1996,1 units,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000386,Ma-An,Hydro,68,,Dam,1990-1998,1 units,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000387,Liyutan Dam,Hydro,85,,Dam,1992-2002,2x42.5,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000388,Hoping River,Hydro,63,,Run of River,1998-2010,1 units,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000389,Tachiachi,Hydro,180,,Dam,2002-2008,4x45,,,,"Bureau of Ministry, Energy, and Economic Affairs",https://web3.moeaboe.gov.tw/ECW/english/content/SubMenu.aspx?menu_id=1537,,,,,,,Operating,Taiwan,Taiwan National Grid,,,,,,,,,,
1000404,Qingshan,Hydro,360,,Dam with Reservoir,1971-1973,4,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1540,,,,,,,Operating,Taiwan,,,,,,,,,,,青    山
1000405,Deji,Hydro,234,,Dam with Reservoir,1974,3,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1541,,,,,,,Operating,Taiwan,,,,,,,,,,,德    基
1000406,Guguan,Hydro,217,,Dam with Reservoir,2010,4,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1542,,,,,,,Operating,Taiwan,,,,,,,,,,,谷    關
1000407,Tianlun,Hydro,195,,Dam with Reservoir,1952-1978,4,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1543,,,,,,,Operating,Taiwan,,,,,,,,,,,天    輪
1000408,Man'an,Hydro,133,,Dam with Reservoir,1998,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1544,,,,,,,Operating,Taiwan,,,,,,,,,,,馬    鞍
1000409,Daguan Yichang,Hydro,110,,Dam with Reservoir,1934,5,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1545,,,,,,,Operating,Taiwan,,,,,,,,,,,大觀一廠
1000410,Jugong,Hydro,44,,Dam with Reservoir,1937,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1546,,,,,,,Operating,Taiwan,,,,,,,,,,,鉅    工
1000411,Wushe,Hydro,21,,Dam with Reservoir,1957,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1547,,,,,,,Operating,Taiwan,,,,,,,,,,,霧    社
1000412,Shuili,Hydro,13,,Dam with Reservoir,1992,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1548,,,,,,,Operating,Taiwan,,,,,,,,,,,水    里
1000413,Liwu,Hydro,32,,Dam with Reservoir,1951-1954,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1549,,,,,,,Operating,Taiwan,,,,,,,,,,,立    霧
1000414,Yuanshan,Hydro,18,,Dam with Reservoir,1941,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1550,,,,,,,Operating,Taiwan,,,,,,,,,,,圓  山
1000415,Longjian,Hydro,97,,Dam with Reservoir,1951-1984,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1551,,,,,,,Operating,Taiwan,,,,,,,,,,,龍    澗
1000416,Zhuolan,Hydro,80,,Dam with Reservoir,2002,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1552,,,,,,,Operating,Taiwan,,,,,,,,,,,卓    蘭
1000417,Tianpi,Hydro,8,,Dam with Reservoir,1922-1933,3,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1553,,,,,,,Operating,Taiwan,,,,,,,,,,,天    埤
1000418,Wulai,Hydro,23,,Dam with Reservoir,1950-1954,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1554,,,,,,,Operating,Taiwan,,,,,,,,,,,烏    來
1000419,Guishan,Hydro,13,,Dam with Reservoir,1941,2,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1555,,,,,,,Operating,Taiwan,,,,,,,,,,,桂    山
1000420,Cukeng,Hydro,5,,Dam with Reservoir,1992,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1556,,,,,,,Operating,Taiwan,,,,,,,,,,,粗    坑
1000421,Ruanqiao,Hydro,0.2,,Dam with Reservoir,1993,1,,,,"Bureau of Ministry, Energy, and Economic Affairs",http://web3.moeaboe.gov.tw/ECW/english/content/ContentLink.aspx?menu_id=1557,,,,,,,Operating,Taiwan,,,,,,,,,,,軟    橋
