PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,Year of Data
1016071,Temascal,Hydro,354,San Miguel,,,,,1501,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,48.4,,Operating,Mexico,,,,,,San Miguel,,,,,,,,2007
1016072,Caracol (Carlos Ramírez Ulloa),Hydro,600,Apaxtla,,,,,850,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,16.2,,Operating,Mexico,,,,,,Apaxtla,,,,,,,,2007
1016073,Infiernillo,Hydro,1000,La Unión,,,,,2749,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,31.4,,Operating,Mexico,,,,,,La Unión,,,,,,,,2007
1016074,Villita (José María Morelos),Hydro,280,Lázaro Cárdenas,,,,,1145,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,46.7,,Operating,Mexico,,,,,,Lázaro Cárdenas,,,,,,,,2007
1016075,Necaxa [LyFC],Hydro,107,J. Galindo,,,,,323,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,34.4,,Retired,Mexico,,,,,,J. Galindo,,,,,,,,2007
1016076,El Novillo (Plutarco Elías Calles),Hydro,135,Soyopa,,,,,405,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,34.3,,Operating,Mexico,,,,,,Soyopa,,,,,,,,2007
1016077,Comedero (Raúl J. Marsal),Hydro,100,Cosalá,,,,,200,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,22.9,,Operating,Mexico,,,,,,Cosalá,,,,,,,,2007
1016078,Bacurato,Hydro,92,Sinaloa de Leyva,,,,,403,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,50,,Operating,Mexico,,,,,,Sinaloa de Leyva,,,,,,,,2007
1016079,Aguamilpa Solidaridad,Hydro,960,Tepic,,,,,1353,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,16.1,,Operating,Mexico,,,,,,Tepic,,,,,,,,2007
1016080,Huites (Luis Donaldo Colosio),Hydro,422,Choix,,,,,1164,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,31.5,,Operating,Mexico,,,,,,Choix,,,,,,,,2007
1016081,Agua Prieta (Valentín Gómez Farías),Hydro,240,Zapopan,,,,,183,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,8.7,,Operating,Mexico,,,,,,Zapopan,,,,,,,,2007
1016082,Zimapán (Fernando Hiriart Balderrama),Hydro,292,Zimapán,,,,,1273,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,49.8,,Operating,Mexico,,,,,,Zimapán,,,,,,,,2007
1016119,Mazatepec,Hydro,220,Tlatlauquitepec,,,,,415,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,21.5,,Operating,Mexico,,,,,,Tlatlauquitepec,,,,,,,,2007
1016120,Cupatitzio,Hydro,72,Uruapan,,,,,404,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,63.6,,Operating,Mexico,,,,,,Uruapan,,,,,,,,2007
1016121,El Fuerte (27 de Septiembre),Hydro,59,El Fuerte,,,,,351,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,67.5,,Operating,Mexico,,,,,,El Fuerte,,,,,,,,2007
1016123,Cóbano,Hydro,52,G. Zamora,,,,,215,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,47.2,,Operating,Mexico,,,,,,G. Zamora,,,,,,,,2007
1016125,Humaya,Hydro,90,Badiraguato,,,,,394,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,49.9,,Operating,Mexico,,,,,,Badiraguato,,,,,,,,2007
1016126,Lerma (Tepuxtepec) [LyFC],Hydro,67,Contepec,,,,,181,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,30.8,,Retired,Mexico,,,,,,Contepec,,,,,,,,2007
1016127,Santa Rosa (Manuel M. Diéguez),Hydro,61,Amatitán,,,,,206,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,38.4,,Retired,Mexico,,,,,,Amatitán,,,,,,,,2007
1016128,Patla [LyFC],Hydro,39,Zihuateutla,,,,,106,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,30.9,,Operating,Mexico,,,,,,Zihuateutla,,,,,,,,2007
1016133,La Amistad,Hydro,66,Acuña,Dam with Reservoir,,,,109,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,18.8,,Operating,Mexico,,,,,,Acuña,,,,,,,,2007
