PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,
1026604,Kourtesi 1 Solar Power Plant,Solar,4.9,,PV,,,Enel Green Power Hellas SA,,,Enel Green Power,https://www.enelgreenpower.com/en/media/press/d201205-enel-green-power-starts-operating-two-new-plants-in-greece.html,,,,,,,,,Operating,Greece,,37.9603,21.34365,,,,,,,,,,,
1026605,Kourtesi 2 Solar Power Plant,Solar,4.9,,PV,,,Enel Green Power Hellas SA,,,Enel Green Power,https://www.enelgreenpower.com/en/media/press/d201205-enel-green-power-starts-operating-two-new-plants-in-greece.html,,,,,,,,,Operating,Greece,,37.9598,21.34748,,,,,,,,,,,
1026606,Koutsopodi Solar Power Plant,Solar,2,,PV,,,Elliniki Technodomiki Anemos SA,,,Biosar,http://en.biosar.gr/article.asp?catid=31187&subid=2&pubid=15361429,,,,,,,,,Operating,Greece,,37.6502,22.65561,,,,,,,,,,,
1026607,Limnochori Solar Power Plant,Solar,4.8,,PV,,,Enel Green Power Hellas SA,,,Enel Green Power,http://environmentalreport2012.enel.com/files/grecia_en.pdf,,,,,,,,,Operating,Greece,,38.1311,21.44679,,,,,,,,,,,
1026608,Magiko Solar Power Plant,Solar,1.9,,PV,,,F/V Parko Xanthi,,,Biosar,http://en.biosar.gr/article.asp?catid=31185&subid=2&pubid=15361404,,,,,,,,,Operating,Greece,,41.0576,24.8927,,,,,,,,,,,
1026609,Moutsara 1 Solar Power Plant,Solar,7,,PV,,,Astraios Energeiakh SA,,,Biosar,http://en.biosar.gr/article.asp?catid=31183&subid=2&pubid=15361306,,,,,,,,,Operating,Greece,,40.6597,22.18933,,,,,,,,,,,
1026610,Moutsara 2 Solar Power Plant,Solar,7,,PV,,,Astraios Energeiakh SA,,,Biosar,http://en.biosar.gr/article.asp?catid=31183&subid=2&pubid=15361306,,,,,,,,,Operating,Greece,,40.6499,22.1916,,,,,,,,,,,
1026611,Palioklisi Solar Power Plant,Solar,1.9,,PV,,,Martifer Solar,,,Martifer Solar,http://www.martifersolar.com/,,,,,,,,,Operating,Greece,,39.1248,20.72171,,,,,,,,,,,
1026612,Panagia Solar Power Plant,Solar,4,,PV,,,Sky Development RES SA,,,Biosar,http://en.biosar.gr/article.asp?catid=31183&subid=2&pubid=15361325,,,,,,,,,Operating,Greece,,39.0955,22.21493,,,,,,,,,,,
1026613,Polydamada Solar Power Plant,Solar,10,,PV,,,Selected Volt,,,Biosar,http://en.biosar.gr/article.asp?catid=31185&subid=2&pubid=15361400,,,,,,,,,Operating,Greece,,39.3473,22.40523,,,,,,,,,,,
