old_id,PowerWatch ID,change?,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Municipality,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1006182,1023629,,ALITRASA XI,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA TRATAMIENTO AGUAS,SA",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4774,,,,,,,,Spain,,,,,,Alhama de Murcia,,,,,,,
1006182,1023628,,ALITRASA IX,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4027,,,,,,,,Spain,,,,,,Lorca,,,,,,,
1006182,1023628,,ALITRASA VII,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4026,,,,,,,,Spain,,,,,,Lorca,,,,,,,
1006182,1023628,,ALITRASA VIII,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2344,,,,,,,,Spain,,,,,,Lorca,,,,,,,
1006182,1023627,,ALITRASA II,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Murcia,,,,,,,
1006182,1023627,,ALITRASA III,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Murcia,,,,,,,
1006182,1023627,,ALITRASA IV,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4267,,,,,,,,Spain,,,,,,Murcia,,,,,,,
1006182,1023627,,ALITRASA V,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4672,,,,,,,,Spain,,,,,,Murcia,,,,,,,
1006182,1023627,,ALITRASA VI,Waste,14.14,,Waste Incinerator,,,"ALITRASA ALICANTINA DE TRAT. AGUAS, S.A",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2345,,,,,,,,Spain,,,,,,Murcia,,,,,,,
1006156,1023626,,ABENGOA SERVICIOS URBANOS,Waste,15,,Waste Incinerator,,,"ABENGOA SERVICIOS URBANOS, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4224,,,,,,,,Spain,,,,,,Salzadella (la),,,,,,,
1023570,1023570,,VILALBA DELS ARCS,Wind,24,,Wind,2010,,"PARC EOLIC VILALBA DELS ARCS, SLU",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Vilalba dels Arcs,,,,,,,
1023569,1023569,,VANDELLOS GR 2,Nuclear,1045.31,,PWR,1987,7453.217,ENDESA GENERACION S.A.,,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5525,,,,,,,,Spain,,,,,,Vandellos i lHospitalet de lInfant,,,,,,,
1023568,1023568,,VALORACIONES ENERGETICAS AGRARIAS,Other,40,,Other,,,"VALORACIONES ENERGETICAS AGRARIAS, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Socuellamos,,,,,,,
1023567,1023567,,VALBONILLA (2 FASE 27/9/05),Wind,11.1,,Wind,,,"IBERENOVA PROMOCIONES, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Castrojeriz,,,,,,,
1023566,1023566,,TORRE MADRINA,Wind,48,,Wind,2011,,"PARC EOLIC TORRE MADRINA, S.L.U",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4220,,,,,,,,Spain,,,,,,Batea,,,,,,,
1023565,1023565,,TERSA,Waste,18,,Waste Incinerator,1986,,"TRACTAMENT I SELECCIO DE RESIDUS, SA",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-2216,,,,,,,,Spain,,,,,,Sant Adria de Besos,,,,,,,
1023564,1023564,,TERMOSOLAR BORGES,Solar,24.29,,CSP,2012,,"TERMOSOLAR BORGES, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4317,,,,,,,,Spain,,41.533389,0.809535,,,Borges Blanques (Les),,,,,,,
1023563,1023563,,"SULQUISA, S.A.",Natural Gas,14.889,,CHP,2006,,"SULQUISA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Colmenar de Oreja,,,,,,,
1007881,1023562,,SANT ANTONI,Wind,12.5,,Wind,2010,,"PARC EOLIC SANT ANTONI, SL",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Granadella (La),,,,,,,
1023562,1023562,,SANT ANTONI,Wind,35.7,,Wind,2012,,"PARC EOLIC SANT ANTONI, SL",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Granadella (La),,,,,,,
1023561,1023561,,PRESA DEL ARENOSO,Hydro,12.194,,Hydro,2007,,"AGUAS DE LA CUENCA DE ESPANA, S.A",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Montoro,,,,,,,
1023560,1023560,,SIERRO,Wind,19.55,,Wind,2004,,"BIOVENT ENERGIA, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-4246,,,,,,,,Spain,,,,,,Retortillo de Soria,,,,,,,
1023559,1023559,,SASTAGO-II,Hydro,20.3,,Hydro,,,"ELECTRO METALURGICA DEL EBRO, S.L.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Sastago,,,,,,,
1023558,1023558,,SAN MARTIN,Hydro,10.29,,Hydro,1986,,"IBERDROLA GENERACION, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Quiroga,,,,,,,
1023557,1023557,,SAN CLODIO,Hydro,19.57,,Hydro,1970,,"IBERDROLA GENERACION, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Ribas de Sil,,,,,,,
1023556,1023556,,"SAMPOL INGENIERIA Y OBRAS, S.A.",Natural Gas,33,,CHP,2004,,"SAMPOL INGENIERIA Y OBRAS, S.A.",,,Red Eléctrica de España,http://www.ree.es/en/statistical-data-of-spanish-electrical-system/annual-report/preliminary-report-spanish-electricity-system-5103,,,,,,,,Spain,,,,,,Madrid,,,,,,,
