PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1022024,MASSERIA VINCELLI,Natural Gas,5,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002909,MILAZZO,Natural Gas,162.9,MILAZZO,CCGT,,,,967,Water Desalinization Plant,Edison,http://www.termica-milazzo.it/navigate.asp?voce=4&sottovoce=1,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002910,MONCALIERI,Natural Gas,780,MONCALIERI,CCGT,,"1x390, 1x400",,2286.3,CHP,Iren Energia,http://www.irenenergia.it/ChiSiamo/Attivita/Teleriscaldamento/Dove_Siamo/Impianti_Torino.html,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1002912,MONTALTO (Alessandro Volta),Natural Gas,"3,446",MONTALTO DI CASTRO,CCGT,1997-1999,"4x114, 4x660, 4x128",ENEL,3.079,,ENEL,https://www.futur-e.enel.it/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3Dmontalto-ita_2.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1445865128793&ssbinary=true,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002916,NAPOLI L,Natural Gas,400,NAPOLI,CCGT,2009,1x400,Tirreno,715,,Tirreno,http://www.tirrenopower.com/en/impianti-elettrici/napoli-levante/,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1021522,NUOVO PIGNONE MS,Natural Gas,31,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
1002917,OSTIGLIA,Natural Gas,1457,OSTIGLIA,CCGT,2013,3x379,E On,2295.64,,E.On,https://web.archive.org/web/20140409021055/http://www.eon-italia.com/en/business/generation/power-plants/ostiglia.html,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,55%,,,,,,,Italy,,,,,,,,,,,,,
1002918,PIACENZA,Natural Gas,806,PIACENZA,CCGT,2006,"2x270, 1x325",Edipower,1068.744,,Edipower,https://web.archive.org/web/20110909235820/http://www.edipower.org/centrali/piacenza.asp,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Italy,,,,,,,,,,,,,
1002919,PIETRAFITTA,Natural gas,365,PIEGARO,CCGT,1980-2003,"2x83, 1x352",ENEL,14,,ENEL,https://www.futur-e.enel.it/cs/Satellite?blobcol=urldata&blobheader=application%2Fpdf&blobheadername1=Content-Disposition&blobheadername2=MDT-Type&blobheadervalue1=inline%3B+filename%3Dpietrafitta-ita.pdf&blobheadervalue2=abinary%3B+charset%3DUTF-8&blobkey=id&blobtable=MungoBlobs&blobwhere=1445864753429&ssbinary=true,ENTSOE (For generation and capacity),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Italy,,,,,,,,,,,,,
1021349,PIOMBINO,Natural Gas,58,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,,,Italy,,,,,,,,,,,,,
