PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh,Data Year
1022916,Killybegs,Wind,13.8,Donegal,Onshore Wind,2008,6,,,E-70,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022917,Kilronan,Wind,5,Roscommon,Onshore Wind,1998,10,,,V39,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022918,Kilvinane,Wind,4.5,Cork,Onshore Wind,2006,3,,,G850,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022919,Kingsmountain,Wind,25,Sligo,Onshore Wind,2003,10,SSE Renewables,,N80,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022920,Knockacummer 1,Wind,87,Cork,Onshore Wind,2013,35,Brookfield Renewable Energy,,N90,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,52.2788,-9.09883,,,,,,,,,,,2016
1022921,Knockastanna,Wind,6,Limerick,Onshore Wind,2009,4,SSE Renewables,,1.5,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022922,Knockawarriga,Wind,22.5,Limerick,Onshore Wind,2008,9,SWS,,N90,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022923,Knocknagoum,Wind,44.5,Kerry,Onshore Wind,2013,26,Invis Energy,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,52.3412,-9.56756,,,,,,,,,,,2016
1022924,Knocknalour 1,Wind,5,Wexford,Onshore Wind,2013,4,Knocknalour wind Farm Ltd,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022925,Knocknalour 2,Wind,3.95,Wexford,Onshore Wind,2013,4,Knocknalour wind Farm Ltd,,,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022926,Lacka Cross,Wind,4.6,Kerry,Onshore Wind,2009,2,,,E-82,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
1022927,Lackan,Wind,6.9,Sligo,Onshore Wind,2006,3,,,E-70,Irish Wind Energy Association,http://www.iwea.com/windfarmsinireland,,,,,,,Operating,Ireland,,,,,,,,,,,,,,2016
