PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1025029,Laluque,Solar,3.84398,Laluque,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.8512,-0.98634,,,,,,,,,,
1025030,Montsapey,Hydro,3.81,Montsapey,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.5313,6.36726,,,,,,,,,,
1025031,Nice,Solar,3.78755,Nice,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.7123,7.2375,,,,,,,,,,
1025032,Villeneuve-sur-Lot,Solar,3.78137,Villeneuve-sur-Lot,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.4247,0.74198,,,,,,,,,,
1025033,Vias,Solar,3.78074,Vias,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.3132,3.39928,,,,,,,,,,
1025034,Banca,Hydro,3.78,Banca,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.1001,-1.37156,,,,,,,,,,
1025035,La Bastide-Puylaurent,Hydro,3.7,La Bastide-Puylaurent,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.5658,3.88795,,,,,,,,,,
1025036,Labessière-Candeil,Biomass,3.675,Labessière-Candeil,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.8005,2.01963,,,,,,,,,,
1025037,Bourgneuf-en-Mauges,Solar,3.67395,Bourgneuf-en-Mauges,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,47.3087,-0.85917,,,,,,,,,,
1025038,Saint-Jeoire,Hydro,3.673,Saint-Jeoire,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,46.1387,6.46449,,,,,,,,,,
1025039,Montpellier,Biomass,3.666,Montpellier,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.6132,3.86941,,,,,,,,,,
1025040,Aléria,Solar,3.66198,Aléria,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,42.1061,9.496,,,,,,,,,,
1025041,Colomiers,Solar,3.65295,Colomiers,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.6116,1.32727,,,,,,,,,,
1025042,Laruscade,Solar,3.6342,Laruscade,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.1242,-0.34392,,,,,,,,,,
1025043,Saint-Paul-sur-Ubaye,Hydro,3.61,Saint-Paul-sur-Ubaye,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.559,6.82073,,,,,,,,,,
1025044,Villejust,Biomass,3.605,Villejust,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.6784,2.22329,,,,,,,,,,
1025047,Lacourt,Hydro,3.6,Lacourt,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,42.9332,1.17076,,,,,,,,,,
1025048,Riols,Wind,3.6,Riols,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.5016,2.79787,,,,,,,,,,
1025046,Méolans-Revel,Hydro,3.6,Méolans-Revel,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.371,6.49802,,,,,,,,,,
1025050,Saint-Flour,Hydro,3.6,Saint-Flour,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.7102,3.50957,,,,,,,,,,
1025045,Izernore,Hydro,3.6,Izernore,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,46.2184,5.56324,,,,,,,,,,
1025049,Guéhenno,Wind,3.6,Guéhenno,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,47.892,-2.65105,,,,,,,,,,
1025051,Saint-Aunès,Solar,3.59832,Saint-Aunès,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.6352,3.96685,,,,,,,,,,
1025052,Frontignan,Solar,3.57087,Frontignan,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.4481,3.74934,,,,,,,,,,
1025053,Bayonne,Biomass,3.567,Bayonne,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.4923,-1.46624,,,,,,,,,,
1025054,Le Pontet,Solar,3.56292,Le Pontet,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.9686,4.86538,,,,,,,,,,
1025055,Zonza,Solar,3.53502,Zonza,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,41.7213,9.2666,,,,,,,,,,
1025056,Semoutiers-Montsaon,Solar,3.52497,Semoutiers-Montsaon,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.0639,5.05364,,,,,,,,,,
1025057,Alès,Solar,3.5015,Alès,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.1254,4.08884,,,,,,,,,,
1025059,Cargiaca,Hydro,3.49,Cargiaca,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,41.7322,9.04117,,,,,,,,,,
1025058,Felletin,Biomass,3.49,Felletin,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.8905,2.18246,,,,,,,,,,
1025062,Zicavo,Hydro,3.4,Zicavo,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,41.8845,9.167,,,,,,,,,,
1025063,Silfiac,Wind,3.4,Silfiac,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.1448,-3.17322,,,,,,,,,,
1025060,Plouarzel,Wind,3.4,Plouarzel,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.439,-4.72026,,,,,,,,,,
1025061,Plourin,Wind,3.4,Plourin,Onshore Wind,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,48.5026,-4.68428,,,,,,,,,,
1025064,Les Pennes-Mirabeau,Biomass,3.38,Les Pennes-Mirabeau,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.4032,5.31538,,,,,,,,,,
1025065,Thiers,Solar,3.37036,Thiers,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.8623,3.53949,,,,,,,,,,
1025066,Les Herbiers,Solar,3.35788,Les Herbiers,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,46.8667,-1.02208,,,,,,,,,,
1025068,Crépy-en-Valois,Biomass,3.35,Crépy-en-Valois,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,49.2361,2.89671,,,,,,,,,,
1025067,Lewarde,Biomass,3.35,Lewarde,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,50.3367,3.16893,,,,,,,,,,
1025069,Saint-Denis-des-Murs,Hydro,3.33,Saint-Denis-des-Murs,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,45.7797,1.52949,,,,,,,,,,
1025070,Septèmes-les-Vallons,Biomass,3.326,Septèmes-les-Vallons,,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.3933,5.38091,,,,,,,,,,
1025071,Mazamet,Hydro,3.317,Mazamet,Hydro,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,43.458,2.38928,,,,,,,,,,
1025072,Bozouls,Solar,3.31605,Bozouls,PV,,,,,,Open Power System Data,http://data.open-power-system-data.org/renewable_power_plants/2016-10-21/,,,,,,,Operating,France,,44.4676,2.70862,,,,,,,,,,
