PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1018998,Malatya İnönü Üni. Güneş Santrali,Solar,5,Malatya,PV,,,Malatya İnönü Üniversitesi,,,Enerji Atlasi,http://www.enerjiatlasi.com/sehir/,,,,,,,,Turkey,,,,,,,,,,,,,
1018999,Nar Solar Enerji Güneş Enerji Santrali,Solar,5,Mersin,PV,,,Nar Solar Enerji,,,Enerji Atlasi,http://www.enerjiatlasi.com/sehir/,,,,,,,,Turkey,,,,,,,,,,,,,
1019023,Batısöke Söke Çimento Atık Isı Elektrik Santrali,Waste,5,Aydın,Waste Incinerator,,,Batısöke Söke Çimento,,,Enerji Atlasi,http://www.enerjiatlasi.com/biyogaz/,,,,,,,,Turkey,,,,,,,,,,,,,
1019024,Kocaeli Çöplüğü Biyogaz Santrali,Waste,5,Kocaeli,Waste Incinerator,,,Ortadoğu Enerji,,,Enerji Atlasi,http://www.enerjiatlasi.com/biyogaz/,,,,,,,,Turkey,,,,,,,,,,,,,
1018904,Pitane,Wind,4.8,,Onshore Wind,2014,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/ruzgar/,,,,,,,,Turkey,,,,,,,,,,,,,
1018743,Samsun,Lignite Coal,4.75,,Sub-critical thermal,,,Türkiye Şeker Fabrikaları,,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018744,Kütahya,Lignite Coal,4.57,,Sub-critical thermal,,,Kütahya Şeker Fabrikası,,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018745,Erzincan,Lignite Coal,4,,Sub-critical thermal,,,Türkiye Şeker Fabrikaları,,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018905,Saray,Wind,4,,Onshore Wind,2012,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/ruzgar/,,,,,,,,Turkey,,,,,,,,,,,,,
1018746,Usak,Lignite Coal,3.72,,Sub-critical thermal,,,Türkiye Şeker Fabrikaları,,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018820,Hatipoğlu Plastik Trijenerasyon Santrali,Natural Gas,2,Eskişehir,,,,Hatipoğlu Plastik,,,Enerji Atlasi,http://www.enerjiatlasi.com/dogalgaz/,,,,,,,,Turkey,,,,,,,,,,,,,
1018906,Cesme,Wind,2,,Onshore Wind,1998,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/ruzgar/,,,,,,,,Turkey,,,,,,,,,,,,,
1018747,Cankiri,Lignite Coal,1.64,,Sub-critical thermal,,,Med-Mar Sağlık Salti Tuz,,Lignite Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018748,Göknur Gıda Termik Santrali,Coal,1.55,,Sub-critical thermal,,,Göknur Gıda,,Imported Coal,Enerji Atlasi,http://www.enerjiatlasi.com/komur/,,,,,,,,Turkey,,,,,,,,,,,,,
1018907,Sunjut,Wind,1.2,,Onshore Wind,2006,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/ruzgar/,,,,,,,,Turkey,,,,,,,,,,,,,
1018908,BURES,Wind,1,,Onshore Wind,2014,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/ruzgar/,,,,,,,,Turkey,,,,,,,,,,,,,
1018909,Pasalimani,Wind,1,,Onshore Wind,2013,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/ruzgar/,,,,,,,,Turkey,,,,,,,,,,,,,
1018910,TepeRES,Wind,1,,Onshore Wind,2006,,,,,Enerji Atlasi,http://www.enerjiatlasi.com/ruzgar/,,,,,,,,Turkey,,,,,,,,,,,,,
