PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,Year of Data
1008178,Sahand,Oil,650,,Sub-Critical Thermal,2004-2005,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008179,Sahid Montazere Ghaem,Oil,626,,Sub-Critical Thermal,1971-1973,4,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008180,Sanandaj,Natural Gas,636,,CCGT,2005-2006,4,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008181,Sefid Rood,Hydro,87,,Dam,1964,5,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008182,Semnan,Natural Gas,25,,OCGT,1999-2000,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008183,Shahid Abbaspuor,Hydro,2000,,Dam,1971-2002,8,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,32.05489,49.60697,,,,,,,,,
1008184,Shahid M. Montazeri,Fuel Oil,1600,Shahin Shahr,Sub-Critical Thermal,1985-1987,,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,National Integrated Grid,32.7952,51.49587,,,,,,,,نیروگاه شهید محمد منتظری,
1008185,Shahid Mofateh,Oil,100,,Sub-Critical Thermal,1995-1997,4,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008186,Shahid Rajaee,Natural Gas,2040,,CCGT,1994-1995,4,,,Complex has a 1040 CCGT plant and a 1000 MW thermal plant,TAVANIR,http://www.rajaeepowerplant.ir/en/node/443,45%,,,,,,Operating,Iran,,,,Gas Oil,,,,Dry Cooling,,400 kv,,
1008187,Shahid Salimi,Natural Gas,435,,CCGT,1990-2006,3,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
