PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,
1026359,Yunnan Kunming Shilin,Solar,66,,PV,,,"Yunnan Provincial Power Investment New Energy Development Co., Ltd.",,,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1341476468.41/view,,,,,,,,,Operating,China,,24.8356,103.4108,,,,,
1000539,Yixing,Hydro,1000,,Pumped Storage,2008,,,1490,,Water Power Magazine,http://www.waterpowermagazine.com/features/featuremixing-up-yixing/,,,,,,,,,Operating,China,,31.320173,119.765255,,,,,
1023857,Hexigten Wind Farm,Wind,120,Inner Mongolia,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,42.757692,117.6971,,,,,
1026360,Weidi Yongren Solar Plant,Solar,50,,PV,,,"Yunnan Huadian Weidi Solar Power Co., Ltd.",,,CDM,http://cdm.unfccc.int/Projects/DB/ERM-CVS1353067494.74/view,,,,,,,,,Operating,China,,26.1763,101.6525,,,,,
1000481,Baishan,Hydro,1500,Songhua River,Dam with Reservoir and Pumped Storage,1992-2006,,,2003,300 MW pumped storage completed in 2006,Water Pub,http://www.waterpub.com.cn/JHDB/DetailDam.asp?ID=12,,,,,,,,,Operating,China,,42.726389,127.224568,,,,,
1023856,Dongzhangjia,Wind,50.25,Liaoning,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,42.810431,124.1789,,,,,
1026361,Huaneng Geermu III,Solar,20,,PV,,,"Huaneng Geermu Photovoltaic Power Generation Co., Ltd.",,,CDM,http://cdm-en.ccchina.gov.cn/newitemall0.aspx?page=5,,,,,,,,,Operating,China,,36.3598,95.10856,,,,,
1000456,Nuozhadu,Hydro,5850,Mekong River,Dam with Reservoir,,,,23900,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,Chinese National Committee on Large Dams,http://www.chincold.org.cn/dams/rootfiles/2010/07/20/1279253974107059-1279253974109834.pdf,,,,,,,Operating,China,,22.052543,100.766647,,,,,
1023855,Quantou,Wind,49.3,Liaoning,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,42.836382,124.1994,,,,,
1026362,Qinghai Golmud Phase II,Solar,30,,PV,,,"Longyuan Golmud New Energy Development Co., Ltd.",,,CDM,https://cdm.unfccc.int/Projects/DB/DNV-CUK1338205594.3/view,,,,,,,,,Operating,China,,36.3583,95.17003,,,,,
1000457,Ahai,Hydro,4750,Jinsha River,Dam with Reservoir,,,,,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,,,,,,,,,Operating,China,,27.349034,100.507533,,,,,
1023854,Dali (Maolin),Wind,91.86,Inner Mongolia,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,43.409441,116.2551,,,,,
1026363,Ningxia Taiyangshan Phase I,Solar,10,,PV,,,"Ningxia Electric Power Group Co., Ltd.",,,CDM,https://cdm.unfccc.int/Projects/DB/RWTUV1310469735.47/view,,,,,,,,,Operating,China,,37.5212,106.6041,,,,,
1000459,Pu Bu Gou,Hydro,4260,Dadu He,Concrete Dam with Reservoir,,,,,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,,,,,,,,,Operating,China,,29.208804,102.838004,,,,,
1023853,Longyuan Huitengliang Wind Farm,Wind,300,Inner Mongolia,Onshore Wind,,,,,,CDM,http://cdm.unfccc.int/Projects/DB/TUEV-SUED1254218052.49/view,,,,,,,,,Operating,China,,43.453626,116.1544,,,,,
1026364,Ningxia Diantou Taiyangshan Phase I,Solar,10,,PV,,,"Ningxia Diantoushangde Solar Power Generation Co., Ltd.",,,CDM,https://cdm.unfccc.int/Projects/DB/BVQI1339492838.15/view,,,,,,,,,Operating,China,,37.4868,106.5352,,,,,
1000461,Xiaowan,Hydro,4200,Mekong River,Dam with Reservoir,,,,,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,,,,,,,,,Operating,China,,24.704232,100.091385,,,,,
1023852,Xiaocaohu,Wind,49.5,Xinjiang,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,43.4669,88.14653,,,,,
1026365,Golden Jumping Group,Solar,12,,PV,,,"Golden Jumping Group Co., LTD",,,CDM,http://cdm.unfccc.int/Projects/DB/RINA1353071852.59/view,,,,,,,,,Operating,China,,44.6774,130.509,,,,,
1000465,Gou Pi Tan,Hydro,3000,Wu River,Dam with Reservoir,2009,,,9667,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,,,,,,,,,Operating,China,,27.374837,107.633321,,,,,
1023851,Huitengliang (Beifeng),Wind,206,Inner Mongolia,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,43.493512,115.9642,,,,,
1026366,Inner Mongolia Alashan,Solar,20,,PV,,,"Inner Mongolia Guodian new Energy Co., Ltd.",,,CDM,http://cdm.unfccc.int/Projects/DB/JCI1352366326.72/history,,,,,,,,,Operating,China,,38.8307,105.6137,,,,,
1000467,Jinanqiao,Hydro,2800,Jinsha River,Dam with Reservoir,2010,,,,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,,,,,,,,,Operating,China,,26.808512,100.446669,,,,,
1023850,Chaiwopu,Wind,82.8,Xinjiang,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,43.594993,87.79799,,,,,
1000472,Gongzui,Hydro,2100,Dadu He,,1979,,,,Hydro,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v4,,,,,,,Operating,China,,29.307917,103.475417,,,Leshan,,
1019321,Dagangshan,Hydro,2600,Dadu,Dam with Reservoir,,4x650,,,,China Guodian Corporation,http://www.cgdc.com.cn/xtdt/695598.jhtml,,,,,,,,,Operating,China,,29.451808,102.220748,,,,,大岗山水电站
1000540,Chonghu'er,Hydro,110,Burquin River,Dam with Reservoir,2009,4x27.5,,,,China Hydropower,http://finance.ifeng.com/roll/20090907/1201840.shtml,,,,,,,,,Operating,China,,48.18339,87.151866,,,,,
1019320,Tingzikou,Hydro,1100,Jialing,Dam with Reservoir,,4x275,,,,China Power,https://web.archive.org/web/20130601052627/http://www.chinapower.com.cn/article/1154/art1154410.asp,,,,,,,,,Operating,China,,31.817949,105.869591,,,,,亭子口水电站
1000514,Laohushao,Hydro,390,Yalu Jiang,,1986,,,,Multi-national dam,China Report,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&ved=0ahUKEwj8_vj0irLOAhXFKMAKHbzECwcQFghPMAk&url=http%3A%2F%2Fhandle.dtic.mil%2F100.2%2FADA352502&usg=AFQjCNF2xDathaEkbXF8bGY8yIB-4VYiOw&sig2=qbhXpH1Z5_OmSZwEogx0uQ&bvm=bv.129391328,d.amc&cad=rja",Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v91,,,,,,,Operating,China,,40.902917,125.974583,,,Jian,,
1000554,Shuifumiao,Hydro,30,Liaan Shui,,1960,,,,Hydro,China Report,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwj-pqGK1rLOAhXFCsAKHVu0Cr0QFggeMAA&url=http%3A%2F%2Fhandle.dtic.mil%2F100.2%2FADA368118&usg=AFQjCNGpQQn6Xp4FPezO5z1lBHRiw9Oijg&sig2=gPjmiluH4mbPGlp2jcfN6w&bvm=bv.129389765,bs.1,d.eWE&cad=rja",Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v44,,,,,,,Operating,China,,27.682917,112.225417,,,Shuangfeng,,
1000452,Three Gorges Dam,Hydro,22500,Chang Jiang,,2003,,,87000,Hydro,China Three Gorges Corporation,http://www.ctgpc.com.cn/sx/sxgczds.php?mClassId=015004,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v21,,,,,,,Operating,China,,30.82875,110.99625,,,Yichang,,
1000565,Pangduo,Hydro,160,Lhasa River,Dam with Reservoir,2013,4x40,,599,,China Tibet Online,http://chinatibet.people.com.cn/6720326.html,,,,,,,,,Operating,China,,30.178218,91.352416,,,,,
1000566,Zhikong,Hydro,100,Lhasa River,Dam with Reservoir,2007,4x25,,407,,China Tibet Online,http://web.archive.org/web/20150206175256/http://en.tibet.cn/news/today/200801/t20080116_338883.htm,,,,,,,,,Operating,China,,29.968283,91.87658,,,,,
1000567,Zangmu,Hydro,540,Brahmaputra River,Dam with Reservoir,2014,6x85,,2500,,China Tibet Online,http://eco.cri.cn/492/2014/11/24/321s24368.htm,,,,,,,,,Operating,China,,29.184796,92.516819,,,,,
1000527,Liuxihe,Hydro,48,Liuxi He,,1958,,,147,Hydro,China Water,https://web.archive.org/web/20120304070927/http://www.chinawater.net.cn/icold2000/st-c5-03.html,Global Reservoir and Dam,http://sedac.ciesin.columbia.edu/data/collection/grand-v79,,,,,,,Operating,China,,23.750417,113.770417,,,Conghua,,
1026367,Wulan Phase 2,Solar,20,,PV,,,"Qinghai Chaidamu Energy Investment & Development Co., Ltd.",,,CDM,https://cdm.unfccc.int/ProgrammeOfActivities/cpa_db/XPQBWM7FG2TELR5N6SU0K81H4JCIYD/view,,,,,,,,,Operating,China,,37.025,98.56681,,,,,
1023849,Tuoli (Tianfen CENIC),Wind,124.5,Xinjiang,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,43.599011,87.8544,,,,,
1026368,CGN Dunhuang Phase II,Solar,9,,PV,,,"CGN Solar Power Dunhuang Co., Ltd.",,,CDM,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1353552645.61/view,,,,,,,,,Operating,China,,40.1147,94.47782,,,,,
1000473,Longkaikou,Hydro,1900,Jinsha River,Dam with Reservoir,2013,,,7820,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,Baike Baidu,http://baike.baidu.com/view/1237229.htm,,,,,,,Operating,China,,26.5304,100.415718,,,,,
1023848,Dabancheng Wind Farm,Wind,500,Xinjiang,Onshore Wind,,,,,,EV Wind,http://www.evwind.es/noticias.php?id_not=7664,,,,,,,,,Operating,China,,43.599105,87.8544,,,,,
1026369,CGN Jinta Hongliuwa,Solar,9,,PV,,,"CGN Solar Power Jinta Co., Ltd.",,,CDM,http://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1351756350.54/view,,,,,,,,,Operating,China,,39.9596,98.99342,,,,,
1000476,Pengshui,Hydro,1750,Wu River,Dam with Reservoir,2008,,,,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,ChiangJiang Institute,http://www.cjwsjy.com.cn/index_en.asp?id=36,,,,,,,Operating,China,,29.200791,108.197656,,,,,
1023847,Tongliao Beiqinghe Wind Farm,Wind,300,Inner Mongolia,Onshore Wind,,,,,,CDM,http://cdm.unfccc.int/Projects/DB/DNV-CUK1256566899.57/view,,,,,,,,,Operating,China,,43.939966,121.1785,,,,,
1026370,Hainan Lingao,Solar,20,,PV,,,"Hainan Solar Power Co., Ltd.",,,CDM,https://cdm.unfccc.int/Projects/DB/CCSC_DOE1335574878.86/view,,,,,,,,,Operating,China,,19.9653,109.8287,,,,,
1000477,Manwan,Hydro,1605,Mekong River,Dam with Reservoir,1995,,,,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,,,,,,,,,Operating,China,,24.621905,100.448631,,,,,
1023846,Xin'an,Wind,49.5,Inner Mongolia,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,44.14088,122.4824,,,,,
1026372,Qinghai Yuhui Solar,Solar,20,,PV,,,"Qinghai Yuhui New Energy Co., Ltd.",,,CDM,http://cdm.unfccc.int/Projects/DB/CEPREI_Cert1352363092.47/view,,,,,,,,,Operating,China,,36.9956,98.39452,,,,,
1000480,Jing Hong,Hydro,1500,Mekong River,Dam with Reservoir,,,,,,Wilson Center,https://www.wilsoncenter.org/publication/interactive-mapping-chinas-dam-rush,China Daily,http://www.chinadaily.com.cn/china/2008-06/19/content_6779088.htm,,,,,,,Operating,China,,22.052433,100.766691,,,,,
1023845,Gengsheng,Wind,37.6,Jilin,Onshore Wind,,,,,,China Wind Power Center,http://www.cwpc.cn/cwpp/en/information/wind-farms-china/wind-farm-map/,,,,,,,,,Operating,China,,44.626938,122.7104,,,,,
